"Sigla","Dados da contratação","Vl Global","Inicio Vigência","Fim Vigência","Download"
"2º EPM","Contratada: Hallana Christina Sousa Ribeiro                                                                                                          Tipo de Contratação: LICITAÇÃO                                                          Objeto: Aquisição e fornecimento de Medicamentos Veterinários.                                                          Processo/Ano: 0063444/2022                                                          Contrato/Ano: 07/2022                                                          Dt. Assinatura: 03/10/2022                                                                                                                                                                              Fiscal:                                                          RAIMUNDO SILVA LIMA","23.190,00","03/10/2022","31/10/2022","Detalhar                                                                                                                                                                                                                PDF"
"2º EPM","Contratada: C R COMERCIAL LTDA                                                                                                          Tipo de Contratação: LICITAÇÃO                                                          Objeto: CONTRATAÇÃO DE EMPRESA PARA AQUISIÇÃO E FORNECIMENTO DE MATERIAIS DE PROCESSAMENTO DE DADOS (INFORMÁTICA)                                                           Processo/Ano: 0108653/2022                                                          Contrato/Ano: 005/2022                                                          Dt. Assinatura: 22/07/2022","9.395,00","22/07/2022","31/12/2022","Detalhar                                                                                                                                                                                                                PDF"
"2º EPM","Contratada: C R COMERCIAL LTDA                                                                                                          Tipo de Contratação: LICITAÇÃO                                                          Objeto: CONTRATAÇÃO DE EMPRESA PARA AQUISIÇÃO E FORNECIMENTO DE MATERIAL DE EXPEDIENTE                                                          Processo/Ano: 0108653/2022                                                          Contrato/Ano: 004/2022                                                          Dt. Assinatura: 22/07/2022","7.769,00","22/07/2022","31/12/2022","Detalhar                                                                                                                                                                                                                PDF"
"2º EPM","Contratada: C R COMERCIAL LTDA                                                                                                          Tipo de Contratação: DISPENSA                                                          Objeto: Contratação de empresa para aquisição e fornecimento de material de limpeza e produtos de higienização,                                                          Processo/Ano: 0072084/2022                                                          Contrato/Ano: 2021NE000019/2022                                                          Dt. Assinatura: 22/06/2022                                                                                                                                                                              Fiscal:                                                          RAIMUNDO SILVA LIMA","17.151,02","22/06/2022","31/12/2022","Detalhar                                                                                                                                                                                                                PDF"
"30º BPM","Contratada: E DA SILVA E SOUSA TEIXEIRA COMERCIO                                                                                                                   Tipo de Contratação: LICITAÇÃO                                                          Objeto: Aquisição de material de consumo divididos em 4 lotes: Lote 001- Gêneros de Alimentação; Lote 002 – Material de Copa e Cozinha, Lote 003 - Material de cama, mesa e banho; e, Lote 004 – Material para manutenção de bens imóveis e instalações, visando suprir as necessidades do 30º Batalhão de Polícia Militar, para o exercício de 2022, compreendendo também a entrega, no endereço sede do 30º Batalhão de Polícia Militar à Av. da Delegacia, s/n, Vila Isaías, Buriticupu/MA, 65.393-000, na sala onde funciona a Quarta Seção do Batalhão – P/4, a ser cumprida em conformidade com as disposições do Termo de Referência nº 003/2022 – P/4 - 30º BPM e demais Anexos do Edital, que o integram e complementam, através de Pregão Presencial, por meio de lotes distintos e autônomos, cujo o lote n° 001 (Gêneros de Alimentação) e n° 002 (Material de Copa e Cozinha) foram adjudicados para a CONTRATADA.                                                          Processo/Ano: 0135564/2022                                                          Contrato/Ano: 3/2022                                                          Dt. Assinatura: 20/09/2022                                                                                                                                                                              Fiscal:                                                          RAIMUNDO CARLOS LORENA","72.596,00","22/09/2022","31/12/2022","Detalhar                                                                                                                                                                                                                PDF"
"30º BPM","Contratada: DISTIMAR COMÉRCIO E SERVIÇOS LTDA                                                                                                          Tipo de Contratação: DISPENSA                                                          Objeto: Contratação de empresa para serviços de manutenção de aparelhos de ar condicionados do 30 Batalhão de Polícia Militar do Estado do Maranhão, para o ano de 2022.                                                          Processo/Ano: 0060496/2022                                                          Contrato/Ano: 002/2022                                                          Dt. Assinatura: 07/06/2022","5.900,00","07/06/2022","31/12/2022","Detalhar                                                                                                                                                                                                                PDF"
"30º BPM","Contratada: DISTIMAR COMÉRCIO E SERVIÇOS LTDA                                                                                                          Tipo de Contratação: DISPENSA                                                          Objeto: Contratação de empresa para serviços de manutenção de aparelhos de ar condicionados do 30 Batalhão de Polícia Militar do Estado do Maranhão, para o ano de 2022.                                                          Processo/Ano: 0060496/2022                                                          Contrato/Ano: 002/2022                                                          Dt. Assinatura: 07/06/2022","5.900,00","07/06/2022","31/12/2022","Detalhar                                                                                                                                                                                                                PDF"
"30º BPM","Contratada: ATTUAL COMERCIO E CONSULTORIA CONTABIL LTDA                                                                                                          Tipo de Contratação: DISPENSA                                                          Objeto: Contratação de empresa especializada para a realização de parecer contábil das contratações públicas do 30º Batalhão de Polícia Militar do Estado do Maranhão, para o ano de 2022.                                                          Processo/Ano: 0047923/2022                                                          Contrato/Ano: 001/2022                                                          Dt. Assinatura: 04/05/2022","5.000,00","04/05/2022","31/12/2022","Detalhar                                                                                                                                                                                                                PDF"
"30º BPM","Contratada: C R COMERCIAL LTDA                                                                                                          Tipo de Contratação: LICITAÇÃO                                                          Objeto: Aquisição de material de consumo divididos em 4 lotes: Lote 001- Gêneros de Alimentação; Lote 002 – Material de Copa e Cozinha, Lote 003 - Material de cama, mesa e banho; e, Lote 004 – Material para manutenção de bens imóveis e instalações, visando suprir as necessidades do 30º Batalhão de Polícia Militar, para o exercício de 2022, compreendendo também a entrega, no endereço sede do 30º Batalhão de Polícia Militar à Av. da Delegacia, s/n, Vila Isaías, Buriticupu/MA, 65.393-000, na sala onde funciona a Quarta Seção do Batalhão – P/4, a ser cumprida em conformidade com as disposições do Termo de Referência nº 003/2022 – P/4 - 30º BPM e demais Anexos do Edital, que o integram e complementam, através de Pregão Presencial, por meio de lotes distintos e autônomos, cujo o Lote n° 003 (Material de Cama, mesa e banho) foi adjudicado para a CONTRATADA.                                                          Processo/Ano: 0135564/2022                                                          Contrato/Ano: 004/2022                                                          Dt. Assinatura: 22/09/2022                                                                                                                                                                              Fiscal:                                                          RAIMUNDO CARLOS LORENA","18.333,26","26/09/2022","31/12/2022","Detalhar                                                                                                                                                                                                                PDF"
"5º BPM","Contratada: JACKELLINE DE SOUZA FONTENELE                                                                                                          Tipo de Contratação: LICITAÇÃO                                                          Objeto: Prestação de serviços especializados no preparo, transporte e fornecimento de refeição humana pronta para sede do 5º Batalhão de Polícia Militar.                                                          Processo/Ano: 0000977/2022                                                          Contrato/Ano: 02/2022                                                          Dt. Assinatura: 21/03/2022","123.328,00","21/03/2022","31/12/2022","Detalhar                                                                                                                                                                                                                PDF"
"5º BPM","Contratada: P. R. DE O. SOUZA                                                                                                          Tipo de Contratação: LICITAÇÃO                                                          Objeto: Aquisição de materiais para manutenção de bens imóveis para atenderem as demandas por manutenção das instalações do 5º Batalhão de Polícia Militar do Maranhão, para o exercício 2022.                                                          Processo/Ano: 0188874/2022                                                          Contrato/Ano: 03/2022                                                          Dt. Assinatura: 18/11/2022                                                                                                                                                                              Fiscal:                                                          José Wilson Gomes da Silva","104.840,83","18/11/2022","31/12/2022","Detalhar                                                                                                                                                                                                                PDF"
"AGED","Contratada: LOCAMIL SERVICOS LTDA                                                                                                                                  Tipo de Contratação: ADESÃO À ATA DE REGISTRO DE PREÇO                                                          Objeto: Contratação para prestação de serviços de locação de veículos (01 S/10)                                                          Processo/Ano: 88644/2022                                                          Contrato/Ano: 004/2022                                                          Dt. Assinatura: 26/05/2022","71.868,00","26/05/2022","26/05/2023","Detalhar                                                                                                                                                                                                                PDF"
"AGED","Contratada: L H DURANS PINHEIRO ME                                                                                                                                    Tipo de Contratação: LICITAÇÃO                                                          Objeto: Aquisição de água mineral garrafão 20l                                                          Processo/Ano: 027052/2022                                                          Contrato/Ano: 006/2022                                                          Dt. Assinatura: 31/05/2022","12.900,00","31/05/2022","30/12/2022","Detalhar                                                                                                                                                                                                                PDF"
"AGED","Contratada: INDRA BRASIL SOLUÇÕES E SERVIÇOS TECNOLÓGICOS LTDA                                                                                                          Tipo de Contratação: ADESÃO À ATA DE REGISTRO DE PREÇO                                                          Objeto: Desenvolvimento, evolução e sustentação de sistemas de informação e desenvolvimento web                                                          Processo/Ano: 22413/2022                                                          Contrato/Ano: 001/2022                                                          Dt. Assinatura: 22/02/2022","368.770,50","22/02/2022","22/03/2023","Detalhar                                                                                                                                                                                                                PDF"
"AGED","Contratada: CASA DO BOI PRODUTOS AGROPECUÁRIOS EIRELI                                                                                                          Tipo de Contratação: LICITAÇÃO                                                          Objeto: Aquisiçao de vacinas contra febre aftosa                                                          Processo/Ano: 48055/2022                                                          Contrato/Ano: 005/2022                                                          Dt. Assinatura: 20/05/2022","205.478,30","20/05/2022","30/12/2022","Detalhar                                                                                                                                                                                                                PDF"
"AGEM","Contratada: ALENCAR CONSTRUCOES COM. E REPRESENT. LTDA.                                                                                                            Tipo de Contratação: DISPENSA                                                          Objeto: Recuperação e pintura das barracas do KM-0, na cidade de São Luis/MA, em conformidade com as especificações técnicas e quantitativos do Projeto Básico (Anexo I) e da proposta apresentada.                                                           Processo/Ano: 228921/2022                                                          Contrato/Ano: 08/2022                                                          Dt. Assinatura: 29/04/2022","30.535,21","29/04/2022","29/04/2023","Detalhar                                                                                                                                                                                                                PDF"
"AGEM","Contratada: FUNDAÇÃO SOUSÂNDRADE DE APOIO AO DESENVOLVIMENTO DA   UFMA   - FSADU                                                                                                          Tipo de Contratação: DISPENSA                                                          Objeto: O presente contrato tem por objeto a contratação de instituição brasileira incumbida regimental ou estatutariamente de desenvolvimento institucional, com inquestionável reputação ética-profissional e sem fins lucrativos, para a realização de apoio técnico especializado e operacional destinado ao desenvolvimento dos programas finalísticos e das competências legais da Agência Executiva Metropolitana - AGEM, em conformidade com as especificações constantes do Projeto Básico da DISPENSA DE LICITAÇÃO nos autos do Processo Administrativo nº 0119891/2022 e da proposta comercial apresentada.                                                           Processo/Ano: 119891/2022                                                          Contrato/Ano: 14/2022                                                          Dt. Assinatura: 12/07/2022","5.538.760,92","12/07/2022","12/07/2023","Detalhar                                                                                                                                                                                                                PDF"
"AGEM","Contratada: PISONTEC COMERCIO E SERVIÇOS EM TECNOLOGIA DA INFORMAÇÃO EIRELI                                                                                                                Tipo de Contratação: ADESÃO À ATA DE REGISTRO DE PREÇO                                                          Objeto: Registro de preços para aquisição de licenças de softwares, em conformidade com as especificações técnicas e quantitativos do Termo de Referência (Anexo I) do Edital do PREGÃO ELETRÔNICO Nº 038/2021 – SARP/MA (SISTEMA DE REGISTRO DE PREÇOS) e da proposta apresentada.                                                           Processo/Ano: 144158/2022                                                          Contrato/Ano: 27/2022                                                          Dt. Assinatura: 21/11/2022","9.512,25","21/11/2022","21/11/2023","Detalhar                                                                                                                                                                                                                PDF"
"AGEM","Contratada: L H DURANS PINHEIRO ME                                                                                                                                    Tipo de Contratação: ADESÃO À ATA DE REGISTRO DE PREÇO                                                          Objeto: Aquisição de Material de Consumo - Tipo Água Mineral, em conformidade com as especificações técnicas e quantitativos do Termo de Referência (Anexo I) do Edital do PREGÃO PRESENCIAL Nº 002/2022-SARP/MA (SISTEMA DE REGISTRO DE PREÇOS), da Ata de Registro de Preço nº 118/2022-SEGEP, e da proposta apresentada e no Processo Administrativo nº 0118314/2022-AGEM.                                                           Processo/Ano: 118314/2022                                                          Contrato/Ano: 22/2022                                                          Dt. Assinatura: 22/08/2022","9.500,00","22/08/2022","22/08/2023","Detalhar                                                                                                                                                                                                                PDF"
"AGEM","Contratada: AGRASTY CONSTRUCOES LTDA                                                                                                                               Tipo de Contratação: ADESÃO À ATA DE REGISTRO DE PREÇO                                                          Objeto: Contratação eventual e futura de empresa especializada na área de engenharia civil, para prestação de serviços de Manutenção Preventiva e Corretiva de Logradouros Públicos nos Municípios da Regional de São Luís, por meio do Termo de Adesão à Ata de Registro de Preço nº  002/2021 – SECID, oriunda da Concorrência nº 006/2021-CSL/SECID, originária do Processo Administrativo nº 30108/2021-SECID, e da autorização de adesão de n.º 258/2022 – SEGEP,  em conformidade com o projeto básico, especificações e normas técnicas que integram este contrato, independentemente de transcrição em estrita conformidade com as normas da ABNT e as definidas. PARÁGRAFO ÚNICO - Este Termo de Contrato vincula-se ao Instrumento Convocatório e seus anexos, identificado no preâmbulo acima, a proposta vencedora independentemente de transcrição, ao Termo de Adesão a Ata de Registro de Preço nº  002/2021 – SECID a Ata de Registro de Preço nº  002/2021 – SECID e da autorização de adesão de n.º 258/2022 – SEGEP e ao Processo Administrativo nº 058742/2022 - AGEM.                                                          Processo/Ano: 58742/2022                                                          Contrato/Ano: 12/2022                                                          Dt. Assinatura: 25/05/2022","8.992.922,62","25/05/2022","25/05/2023","Detalhar                                                                                                                                                                                                                PDF"
"AGEM","Contratada: PAVIRROL ENGENHARIA EIRELI                                                                                                          Tipo de Contratação: ADESÃO À ATA DE REGISTRO DE PREÇO                                                          Objeto: O presente contrato tem por objeto a contratação de empresa especializada para execução dos serviços de limpeza, demolição, pavimentação e sinalização no Parque da Juçara, através da Agência Executiva Metropolitana (AGEM-MA), por meio de adesão da Ata de Registro de Preço nº001/2021 – AGEM/MA, sob regime de EMPREITADA POR PREÇO UNITÁRIO, em conformidade com as especificações constantes do Projeto Básico (Anexo I) do processo em epigrafe, da ARP nº 01/2021 – AGEM, Pregão Presencial nº 01/2021 e da proposta apresentada. VALOR: O valor estimado deste contrato é de R$ 298.219,79 (duzentos e noventa e oito mil, duzentos e dezenove reais e setenta e nove centavos).                                                          Processo/Ano: 100107/2022                                                          Contrato/Ano: 16/2022                                                          Dt. Assinatura: 12/07/2022","298.219,79","12/07/2022","12/01/2022","Detalhar                                                                                                                                                                                                                PDF"
"AGEM","Contratada: PAVIRROL ENGENHARIA EIRELI                                                                                                          Tipo de Contratação: ADESÃO À ATA DE REGISTRO DE PREÇO                                                          Objeto: O presente contrato tem por objeto a contratação de empresa especializada para recuperação da Avenida de Santana, localizada na Vila da Mata, no Município de São José de Ribamar/MA, através da Agência Executiva Metropolitana (AGEM-MA), por meio de adesão da Ata de Registro de Preço nº001/2021 – AGEM/MA, sob regime de EMPREITADA POR PREÇO UNITÁRIO, em conformidade com as especificações constantes do Projeto Básico (Anexo I) do processo em epigrafe, da ARP nº 01/2021 – AGEM, Pregão Presencial nº 01/2021 e da proposta apresentada.                                                          Processo/Ano: 103374/2022                                                          Contrato/Ano: 17/2022                                                          Dt. Assinatura: 12/07/2022","479.321,74","12/07/2022","12/07/2023","Detalhar                                                                                                                                                                                                                PDF"
"AGEM","Contratada: PAVIRROL ENGENHARIA EIRELI                                                                                                          Tipo de Contratação: ADESÃO À ATA DE REGISTRO DE PREÇO                                                          Objeto: O presente contrato tem por objeto a contratação de empresa especializada em serviços de infraestrutura para drenagem pluvial, limpeza e desobstrução de córregos e bueiros e logradouros públicos da Região Metropolitana da Grande São Luís/RMGSL, através da Agência Executiva Metropolitana (AGEM-MA), por meio de adesão da Ata de Registro de Preço nº001/2021 – AGEM/MA, sob regime de EMPREITADA POR PREÇO UNITÁRIO, em conformidade com as especificações constantes do Projeto Básico (Anexo I) do processo em epigrafe, da ARP nº 01/2021 – AGEM, Pregão Presencial nº 01/2021 e da proposta apresentada.                                                           Processo/Ano: 127863/2022                                                          Contrato/Ano: 18/2022                                                          Dt. Assinatura: 12/07/2022","21.384.037,59","12/07/2022","12/07/2023","Detalhar                                                                                                                                                                                                                PDF"
"AGEM","Contratada: PAVIRROL ENGENHARIA EIRELI                                                                                                          Tipo de Contratação: ADESÃO À ATA DE REGISTRO DE PREÇO                                                          Objeto: Pavimentação asfáltica na Rua Dom Pedro I, localizada na cidade de Presidente Juscelino – MA, por meio da Agência Executiva Metropolitana (AGEM-MA), sob regime de EMPREITADA POR PREÇO UNITÁRIO, em conformidade com as especificações constantes do Projeto Básico (Anexo I) do processo em epigrafe, da ARP n.º 01/2021 – AGEM, Pregão Eletrônico n.º 01/2021 e da proposta apresentada.                                                           Processo/Ano: 23607/2022                                                          Contrato/Ano: 06/2022                                                          Dt. Assinatura: 04/05/2022","407.483,12","04/05/2022","04/05/2023","Detalhar                                                                                                                                                                                                                PDF"
"AGEM","Contratada: PAVIRROL ENGENHARIA EIRELI                                                                                                          Tipo de Contratação: DISPENSA                                                          Objeto: Execução de obra emergencial de recomposição de taludes, no bairro Recanto Canaã, em São Luís, em conformidade com as especificações técnicas e quantitativos do Projeto Basico (Anexo I) e na proposta apresentada.                                                          Processo/Ano: 59462/2022                                                          Contrato/Ano: 10/2022                                                          Dt. Assinatura: 10/05/2022","1.090.892,08","10/05/2022","09/11/2022","Detalhar                                                                                                                                                                                                                PDF"
"AGEM","Contratada: SIDNEY REIS GOMES                                                                                                          Tipo de Contratação: DISPENSA                                                          Objeto: O presente contrato tem por objeto a contratação de empresa especializada na execução dos serviços de DEDETIZAÇÃO/DESINSETIZAÇÃO, desinfecção e higienização de áreas internas/externas da Agência Executiva Metropolitana, em conformidade com as especificações técnicas e quantitativos do Termo de Referência (Anexo I) e da proposta apresentada.                                                           Processo/Ano: 100519/2022                                                          Contrato/Ano: 19/2022                                                          Dt. Assinatura: 22/07/2022","7.488,00","22/07/2022","22/07/2023","Detalhar                                                                                                                                                                                                                PDF"
"AGEM","Contratada: A E MENDES                                                                                                          Tipo de Contratação: DISPENSA                                                          Objeto: O presente contrato tem por objeto a aquisição de material de expediente para atender as necessidades da Agência Executiva Metropolitana em conformidade com as especificações constantes do Termo de Referência, em seu Anexo I, e da proposta apresentada. VALOR: R$ 14.802,50 (catorze mil, oitocentos e dois reais e cinquenta centavos).                                                           Processo/Ano: 129167/2022                                                          Contrato/Ano: 23/2022                                                          Dt. Assinatura: 21/09/2022","14.802,50","21/09/2022","21/09/2023","Detalhar                                                                                                                                                                                                                PDF"
"AGEM","Contratada: A E MENDES                                                                                                          Tipo de Contratação: DISPENSA                                                          Objeto: O presente contrato tem por objeto o fornecimento de café em pó, tradicional, torrado e moído, no total de 350 pacotes, em embalagens de 250 gramas cada, em conformidade com as especificações técnicas e quantitativos do Termo de Referência (Anexo I) e da proposta apresentada. VALOR: R$ 4.235,00 (quatro mil, duzentos e trinta e cinco reais).                                                          Processo/Ano: 103990/2022                                                          Contrato/Ano: 13/2022                                                          Dt. Assinatura: 06/07/2022","4.235,00","06/07/2022","06/07/2023","Detalhar                                                                                                                                                                                                                PDF"
