data_criacao_processo,numero_da_licitacao,modalidade,atividade,situacao_do_processo,sigla_orgao_processo,nome_orgao_processo,objeto,tipo_de_licitacao,numero_do_edital,total_proposto,total_homologado
"2023-06-27 13:22:26",00002/SEAD/2023," ","Autorizar Processo","Em andamento",SEAD,"SECRETARIA DO ESTADO DA ADMINISTRAÇÃO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA SERVIÇO DE CONSULTORIA DE PREÇO EM AMBIENTE WEB PRATICADOS PELAS ADMINISTRAÇÕES PÚBLICAS
(BANCO DE PREÇO)","Menor Preco"," ",11580,0
"2023-06-27 12:23:06",00024/SESA/2023," ","Criar Processo","Em andamento",SESA,"SECRETARIA DE ESTADO DA SAÚDE","Aquisição de medicamentos e insumos de uso Hospitalar, com a finalidade de
atender as demandas da situação anormal caracterizada como Situação de
Emergência, em razão da superlotação das unidades estaduais de saúde
causada pelo surto de Síndrome Gripal e Síndrome Respiratória Aguda Grave
(SRAG), caracterizada como desastre natural-biológico-epidemias-doenças
infecciosas virais.
","Menor Preco"," ",0,0
"2023-06-27 09:57:42",00004/SEDEL/2023," ","Analisar Processo","Em andamento",SEDEL,"SECRETARIA DE ESTADO DO DESPORTO E  DO LAZER","AQUISIÇÃO DE MATERIAL DE LIMPEZA E MANUTENÇÃO PARA ATENDER AS PISCINAS DO CENTRO DIDÁTICOS ADMINISTRATADOS PELA SEDEL.","Menor Preco"," ",721800,0
"2023-06-26 15:39:46",00005/CREAP/2023," ","Criar Processo","Em andamento",CREAP,"CENTRO DE REABILITAÇÃO DO AMAPÁ","adesão da Ata de registro de preço do pregão n°00038/2022. Contratação de empresa de engenharia para prestação de serviços continuados de manutenção predial, preventiva (visita periódica) e corretiva (serviços eventuais)","Menor Preco"," ",0,0
"2023-06-26 10:32:27",00005/HEMOAP/2023," ","Autorizar Processo","Em andamento",HEMOAP,"INSTITUTO DE HEMATOLOGIA E HEMOTERAPIA DO AMAPÁ","AQUISIÇÃO DO MEDICAMENTO DO COMPONENTE ESPECIALIZADO - HIDRÓCIURÉIA 500MG","Menor Preco"," ",239400,0
"2023-06-25 19:55:44",00010/IAPEN/2023," ","Analisar Processo","Em andamento",IAPEN,"INSTITUTO DE ADMINISTRAÇÃO PENITENCIÁRIA DO ESTADO","Obra de Reforma do Prédio da Penitenciária Feminina do Instituto de Administração Penitenciária do Amapá.","Menor Preco"," ",2313523.47,0
"2023-06-23 12:45:17",00047/PGE/2023," ","Pesquisar Preço","Em andamento",PGE,"PROCURADORIA-GERAL DO ESTADO","AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS NÃO PERECÍVEIS","Menor Preco"," ",0,0
"2023-06-23 11:54:49",00002/SEMIN/2023," ","Analisar Processo","Em andamento",SEMIN,"SECRETARIA DE ESTADO DA MINERAÇÃO ","Contratação de Pessoa Jurídica para a Prestação de Serviços de Agenciamento de Viagens para
atender a Secretaria de Estado da Mineração  SEMIN, compreendendo os serviços de emissão,
remarcação e cancelamento de passagem aérea nacional e internacional, conforme
especificações e condições constantes neste Termo de Referência
","Menor Preco"," ",55000,0
"2023-06-22 13:23:58",00001/SETE/2023," ","Analisar Processo","Em andamento",SETE,"SECRETARIA DE ESTADO DO TRABALHO E EMPREENDEDORISMO","Prestação de Serviços Agenciamento de Viagens para atender a Secretaria de Estado do Trabalho e Empreendedorismo-SETE, compreendendo os
serviços de emissão, remarcação e cancelamento de passagem aérea nacional e internacional.","Menor Taxa"," ",30000,0
"2023-06-22 12:22:05",00013/SEED/2023," ","Autorizar Processo","Em andamento",SEED,"SECRETARIA DE ESTADO DA EDUCAÇÃO","AQUISIÇÃO DE INSTRUMENTOS MÚSICAIS PARA PRÁTICAS PEDAGÓGICAS E LABORATORIAIS - TERMO DE COMPROMISSO Nº 202141853-5
","Menor Preco"," ",209183.98,0
"2023-06-22 11:49:08",00012/SEED/2023," ","Autorizar Processo","Em andamento",SEED,"SECRETARIA DE ESTADO DA EDUCAÇÃO","AQUISIÇÃO DE MOBILIÁRIO ESCOLAR PARA SALA DE AULA - TERMO DE COMPROMISSO Nº 202241011-6
","Menor Preco"," ",31980.32,0
"2023-06-21 15:35:08",00001/SEMPP/2023," ","Concluir com êxito",Concluído,SEMPP,"SECRETARIA DE ESTADO DE MOBILIZAÇÃO E PARTICIPAÇÃO POPULAR","Contratação de empresa ou prestador de serviço especializado na prestação de serviços de transporte de passageiros.","Menor Preco"," ",25000,25000
"2023-06-21 12:05:25",00011/SEED/2023," ","Autorizar Processo","Em andamento",SEED,"SECRETARIA DE ESTADO DA EDUCAÇÃO","AQUISIÇÃO DE INSTRUMENTOS MÚSICAIS PARA PRÁTICAS PEDAGÓGICAS E LABORATORIAIS, DAS ESCOLAS CÍVICO MILITARES
 - TERMO DE COMPROMISSO Nº 202241010-5
","Menor Preco"," ",63013.68,0
"2023-06-21 10:19:41",00010/SEED/2023," ","Autorizar Processo","Em andamento",SEED,"SECRETARIA DE ESTADO DA EDUCAÇÃO","AQUISIÇÃO DE MATERIAIS PERMANENTES - EQUIPAMENTOS PARA COZINHA - TERMO DE COMPROMISSO Nº 202241009-5","Menor Preco"," ",91325.16,0
"2023-06-21 09:34:53",00023/SESA/2023," ","Apurar e Emitir Resultado","Em andamento",SESA,"SECRETARIA DE ESTADO DA SAÚDE","AQUISIÇÃO DE 362 (TREZENTOS E SESSENTA E DOIS) APARELHOS CONDICIONADORES DE AR, COM INSTALAÇÃO INCLUSA, VISANDO ATENDER AS NECESSIDADES DA SECRETARIA DE ESTADO DA SAÚDE DO AMAPÁ  SESA-AP.","Menor Preco"," ",0,0
"2023-06-20 11:55:27",00014/SEINF/2023," ","Analisar Processo","Em andamento",SEINF,"SECRETARIA DE ESTADO DA INFRA-ESTRUTURA","Contratação integrada de obra para a construção do Novo Hospital de Emergências Estadual no município de Macapá/AP, incluindo serviços técnicos especializados de arquitetura e engenharia, compreendendo a elaboração dos Projetos Básico, Executivos e Complementares de Engenharia, para execução do empreendimento.","Menor Preco"," ",265221299.98,0
"2023-06-20 11:07:05",00005/DETRAN/2023," ","Criar Processo","Em andamento",DETRAN,"DEPARTAMENTO ESTADUAL DE TRÂNSITO","AQUISIÇÃO DE MATERIAL PARA VISTORIA VEÍCULAR.","Menor Preco"," ",9365.4,0
"2023-06-20 10:59:12",00009/SEED/2023," ","Autorizar Processo","Em andamento",SEED,"SECRETARIA DE ESTADO DA EDUCAÇÃO","AQUISIÇÃO DE EQUIPAMENTOS PERMANENTES ATENDIMENTO AS DEMANDAS DAS ESCOLAS DA REDE ESTADUAL DE ENSINO, ETAPA ENSINO MÉDIO, ATRAVÉS DA SECRETARIA DE ESTADO DA EDUCAÇÃO-SEED. - TERMO DE COMPROMISSO Nº 202141008-5.","Menor Preco"," ",338504.2,0
"2023-06-20 10:44:21",00022/SESA/2023," ","Apurar e Emitir Resultado","Em andamento",SESA,"SECRETARIA DE ESTADO DA SAÚDE","Aquisição de medicamentos do Componente Especializado da Assistência Farmacêutica (CEAF) GRUPO 1B e
GRUPO 2","Menor Preco"," ",0,0
"2023-06-20 10:10:48",00001/SEMIN/2023," ","Publicar Consulta e Apurar Resultado","Em andamento",SEMIN,"SECRETARIA DE ESTADO DA MINERAÇÃO ","AQUISIÇÃO DE UNIFORMES E EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL - EPIS PARA OS
SERVIDORES DA SECRETARIA DE ESTADO DA MINERAÇÃO
","Menor Preco"," ",49993.8,0
"2023-06-20 09:54:03",00008/SEED/2023," ","Criar Processo","Em andamento",SEED,"SECRETARIA DE ESTADO DA EDUCAÇÃO","LOCAÇÃO DE IMÓVEL PARA FUNCIONAR O ALOJAMENTO DA ESCOLA ESTADUAL ADELANO LACERDA.","Menor Preco"," ",14094.72,0
"2023-06-20 09:36:52",00046/PGE/2023," ","Apurar e Emitir Resultado","Em andamento",PGE,"PROCURADORIA-GERAL DO ESTADO","PAGAMENTO DE INSCRIÇÃO DA PROCURADORA DO ESTADO DO AMAPÁ NO 49° CONGRESSO NACIONAL DE PROCURADORES DOS ESTADOS E DO DISTRITO FEDERAL/CNPE.","Menor Preco"," ",1700,0
"2023-06-20 08:35:19",00003/SEJUSP/2023," ","Analisar Processo","Em andamento",SEJUSP,"SECRETARIA DE ESTADO DA JUSTIÇA E SEGURANÇA PÚBLICA","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE CONSULTORIA DE PREÇOS PRATICADOS PELA ADMINISTRAÇÃO PÚBLICA, EM AMBIENTE WEB, PARA ATENDER AS NECESSIDADES DA SEJUSP-AP.","Menor Preco"," ",11580,0
"2023-06-20 08:20:12",00045/PGE/2023," ","Pesquisar Preço","Em andamento",PGE,"PROCURADORIA-GERAL DO ESTADO","AQUISIÇÃO DE MATERIAL DE LIMPEZA, INCLUINDO MATERIAL DE PISCINA E JARDINAGEM","Menor Preco"," ",0,0
"2023-06-19 14:43:52",00007/SEED/2023," ","Analisar Processo","Em andamento",SEED,"SECRETARIA DE ESTADO DA EDUCAÇÃO","AQUISIÇÃO DE MATERIAL ESPORTIVO (CORDA PARA PULAR, KIT BASQUETE, KIT FUTEBOL, KIT MATERIAL ESPORTIVO...)TERMO DE COMPROMISSO 202241006-8","Menor Preco"," ",32327.4,0
"2023-06-19 12:38:15",00006/SEED/2023," ","Analisar Processo","Em andamento",SEED,"SECRETARIA DE ESTADO DA EDUCAÇÃO","AQUISIÇÃO DE EQUIPAMENTOS DE TIC  EDUCAÇÃO CONECTADA - TERMO DE COMPROMISSO Nº 202141839-5
","Menor Preco"," ",0,0
"2023-06-19 09:52:42",00005/SEED/2023," ","Autorizar Processo","Em andamento",SEED,"SECRETARIA DE ESTADO DA EDUCAÇÃO","AQUISIÇÃO DE MATERIAL ESCOLAR - TERMO DE COMPROMISSO Nº 202141992-8
","Menor Preco"," ",431150,0
"2023-06-16 17:14:29",00044/PGE/2023," ","Criar Processo","Em andamento",PGE,"PROCURADORIA-GERAL DO ESTADO","AQUISIÇÃO DE MEDICAMENTOS QUE ATUAM NO APARELHO CARDIOVASCULAR.","Menor Preco"," ",0,0
"2023-06-16 16:43:11",00003/SEPLAN/2023," ","Concluir com êxito",Concluído,SEPLAN,"SECRETARIA DE ESTADO DO PLANEJAMENTO","Contratação de empresa de prestação de serviços locação de imóvel estilo Centro de Convenções com vistas a realização de debates de propostas do PPA  Plano Plurianual do Governo Federal para os exercícios de 2024 a 2027, no período de 19 de junho a 20 de junho de 2023, conforme especificações contidas neste Termo de Referência. ","Menor Preco"," ",10000,10000
"2023-06-16 16:04:43",00013/SEINF/2023," ","PJ. Dr. Paulo Maia","Em andamento",SEINF,"SECRETARIA DE ESTADO DA INFRA-ESTRUTURA","CONSTRUÇÃO DE UNIDADE ATENÇÃO ESPECIALIZADA EM SAÚDE-LABORATÓRIO DE FRONTEIRA DE SAÚDE PÚBLICA-LAFRON-OIAPOQUE-AP","Menor Preco"," ",0,0
"2023-06-16 12:27:47",00004/SEED/2023," ","Autorizar Processo","Em andamento",SEED,"SECRETARIA DE ESTADO DA EDUCAÇÃO","AQUISIÇÃO DE MOBILIÁRIO ESCOLAR PARA SALA DE AULA - TERMO DE COMPROMISSO Nº 202141854-6

","Menor Preco"," ",1030828.02,0
"2023-06-16 10:32:46",00003/SEED/2023," ","Autorizar Processo","Em andamento",SEED,"SECRETARIA DE ESTADO DA EDUCAÇÃO","AQUISIÇÃO DE INSTRUMENTOS MÚSICAIS PARA PRÁTICAS PEDAGÓGICAS E LABORATORIAIS - TERMO DE COMPROMISSO Nº 202141850-5

","Menor Preco"," ",191382.12,0
"2023-06-15 14:54:52",00009/SEMA/2023," ","Ratificar Pretensão de Contratar","Em andamento",SEMA,"SECRETARIA DE ESTADO DO MEIO AMBIENTE",DRONES,"Menor Preco"," ",46191,46191
"2023-06-15 10:35:54",00002/SEED/2023," ","Autorizar Processo","Em andamento",SEED,"SECRETARIA DE ESTADO DA EDUCAÇÃO","AQUISIÇÃO DE MOBILIÁRIO PARA AMBIENTE ESCOLAR - TERMO DE COMPROMISSO Nº 202241012-6

","Menor Preco"," ",163200,0
"2023-06-14 11:32:00",00005/SIAC/2023," ","Criar Processo","Em andamento",SIAC,"SISTEMA INTEGRADO DE ATENDIMENTO AO CIDADÃO ","A Contratação de serviço especializado de acesso de provedor de internet
para o fornecimento Link de Internet","Menor Preco"," ",0,0
"2023-06-14 09:05:29",00008/FREBOM/2023," ","Criar Processo","Em andamento",FREBOM,"FUNDO DE REEQUIPAMENTO DO CORPO DE BOMBEIROS","CONTRATAÇÃO DE SERVIÇO DE SOLUÇÃO INTEGRADA DE COLABORAÇÃO E COMUNICAÇÃO CORPORATIVA BASEADA EM NUVEM (CLOUD COMPUTING), PARA ATENDER AS NECESSIDADES DO CORPO DE BOMBEIROS MILITAR DO AMAPÁ","Menor Preco"," ",0,0
"2023-06-14 08:43:48",00003/RURAP/2023," ","Criar Processo","Em andamento",RURAP,"INSTITUTO DE  DESENVOLVIMENTO RURAL DO ESTADO DO AMAPÁ","Aquisição de Material para ATER Digital convenio ANATER","Menor Preco"," ",0,0
"2023-06-13 12:26:19",00043/PGE/2023," ","Criar Processo","Em andamento",PGE,"PROCURADORIA-GERAL DO ESTADO","AQUISIÇÃO DE MATERIAIS MÉDICOS E CIRÚRGICOS-CURATIVOS","Menor Preco"," ",0,0
"2023-06-13 11:08:20",00021/SESA/2023," ","Apurar e Emitir Resultado","Em andamento",SESA,"SECRETARIA DE ESTADO DA SAÚDE","LOCAÇÃO DE EQUIPAMENTOS MÉDICO HOSPITALARES PARA A SECRETARIA DE ESTADO DA SAÚDE  SESA, POR MEIO DA ADESÃO A ATA DE REGISTRO DE PREÇOS 027/2021/ FEPISERH/PI DA SECRETARIA DA SAÚDE DO ESTADO DO PIAUÍ, ORIUNDAS DO PREGÃO ELETRÔNICO Nº 052/2021 CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NESTE INSTRUMENTO.","Menor Preco"," ",18468000,17677200
"2023-06-13 10:22:43",00002/SEJUSP/2023," ","Publicar Consulta e Apurar Resultado","Em andamento",SEJUSP,"SECRETARIA DE ESTADO DA JUSTIÇA E SEGURANÇA PÚBLICA","CONTRATAÇÃO DE SEGURO OBRIGATÓRIO DE RESPONSABILIDADE CIVIL DO EXPLORADOR OU TRANSPORTADOR AÉREO (RETA) PARA ATENDER AS AERONAVES DA COpAER/GTA/SEJUSP/AP.","Menor Preco"," ",6861.48,0
"2023-06-07 10:53:02",00020/SESA/2023," ","Criar Processo","Em andamento",SESA,"SECRETARIA DE ESTADO DA SAÚDE",TESTE,"Menor Preco"," ",0,0
"2023-06-06 12:54:17",00003/SEDEL/2023," ","Autorizar Processo","Em andamento",SEDEL,"SECRETARIA DE ESTADO DO DESPORTO E  DO LAZER","CONTRATAÇÃO DE FERRAMENTA INFORMATIZADA BANCO DE PREÇ, DE TITULARIDADE NP","Menor Preco"," ",10865,0
"2023-06-05 09:56:44",00007/SDR/2023," ","Autorizar Processo","Em andamento",SDR,"SECRETARIA DE ESTADO DO DESENVOLVIMENTO RURAL","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE MATERIAL GRÁFICO E SERIGRÁFICO","Menor Preco"," ",49701,0
"2023-06-02 15:22:58",00019/SESA/2023," ","Realizar Dotação Orçamentária","Em andamento",SESA,"SECRETARIA DE ESTADO DA SAÚDE","REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇO DE NUTRIÇÃO PARENTERAL MANIPULADA E INDUSTRIALIZADA, COM FORNECIMENTO DE INSUMOS E CESSÃO DE EQUIPAMENTOS (BOMBA DE INFUSÃO, REFRIGERADOR E TERMÔMETRO), COM A FINALIDADE DE ATENDER AS DEMANDAS DAS UNIDADES HOSPITALARES SUBORDINADAS À SECRETARIA DE ESTADO DA SAÚDE DO AMAPÁ.","Menor Preco"," ",35206290,0
"2023-06-02 11:50:59",00001/SEAD/2023," ","Autorizar Processo","Em andamento",SEAD,"SECRETARIA DO ESTADO DA ADMINISTRAÇÃO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE LOCAÇÃO DE VEÍCULOS","Menor Preco"," ",15987240,0
"2023-06-02 10:30:44",00007/FUNSEP/2023," ","Analisar Processo","Em andamento",FUNSEP,"FUNDO ESTADUAL DE SEGURANÇA PÚBLICA","AQUISIÇÃO DE AERONAVES REMOTAMENTE PILOTADAS (DRONE) PARA ATENDER DEMANDA DA POLÍCIA CIENTÍFICA DO ESTADO DO AMAPÁ, MEDIANTE ADESÃO A ATA DE REGISTRO DE PREÇOS Nº 095/2022/PCI-B, DO COLEGIADO SUPERIOR DE SEGURANÇA PÚBLICA E PERÍCIA OFICIAL DO ESTADO DE SANTA CATARINA (PE SGPE Nº 4938/2022, COM RECURSOS DO FUNDO ESTADUAL DA SEGURANÇA PÚBLICA - FUNSEP/AP. PLANO DE AÇÃO/REPASSE 2022 - EIXO FORTALECIMENTO DAS INSTITUIÇÕES DE SEGURANÇA PÚBLICA E DEFESA SOCIAL.","Menor Preco"," ",91850,0
"2023-06-02 09:47:32",00004/CREAP/2023," ","PJ. Dr. Paulo Maia","Em andamento",CREAP,"CENTRO DE REABILITAÇÃO DO AMAPÁ","contratação de empresa especializada na prestação de Serviços de Consultoria, Assessoria e Orientação Técnica em gestão administrativa, planejamento nos processos de compras, contratações, contábeis","Menor Preco"," ",264000,0
"2023-06-02 09:26:30",00008/SEMA/2023," ","Ratificar Pretensão de Contratar","Em andamento",SEMA,"SECRETARIA DE ESTADO DO MEIO AMBIENTE","RÁDIO COMUNICADOR - AQUISIÇÃO","Menor Preco"," ",3592.82,3592.82
"2023-06-01 17:04:06",00016/SVS/2023," ","Criar Processo","Em andamento",SVS,"SUPERINTENDÊNCIA DE VIGILÂNCIA EM SAÚDE","AQUISIÇÃO em caráter EMERGENCIAL de INSUMOS LABORATORIAIS para atender as necessidades da Diretoria Executiva de Vigilância Laboratorial DEVL/SVS-AP, conforme condições, quantidades e exigências estabelecidas neste instrumento.","Menor Preco"," ",0,0
"2023-06-01 13:40:05",00007/SEMA/2023," ","Publicar Consulta e Apurar Resultado","Em andamento",SEMA,"SECRETARIA DE ESTADO DO MEIO AMBIENTE","CONTRATAÇÃO EMISSÃO CERTIFICADO DIGITAL","Menor Preco"," ",2342,0
"2023-06-01 09:22:58",00002/IPEM/2023," ","Analisar Processo","Em andamento",IPEM,"INSTITUTO DE PESOS E MEDIDAS","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇOS DE VIGILÂNCIA ARMADA E MONITORAMENTO PATRIMONIAL.","Menor Preco"," ",368282.92,0
"2023-06-01 09:05:16",00006/FUNSEP/2023," ","Concluir com êxito",Concluído,FUNSEP,"FUNDO ESTADUAL DE SEGURANÇA PÚBLICA","Contratação da assinatura do software SNAP SINAPSES DESKTOP, através da empresa TECHBIZ FORENSE DIGITAL LTDA para PCAP integrante do FUNSEP/AP, objetivando o fortalecimento das instituições de Segurança Pública e Defesa Social, cumprindo o plano de aplicação 2022  ação 7.","Menor Preco"," ",399000,399000
"2023-06-01 08:36:22",00002/RURAP/2023," ","Revisar processo e Elaborar Edital","Em andamento",RURAP,"INSTITUTO DE  DESENVOLVIMENTO RURAL DO ESTADO DO AMAPÁ","Aquisição de Fertilizante tipo NPK (10.10.10)","Menor Preco"," ",251737.2,0
"2023-06-01 08:20:29",00006/DGPC/2023," ","PJ. Dra. Edilene Faria","Em andamento",DGPC,"POLÍCIA CIVIL DO ESTADO DO AMAPÁ","Contratação de empresa especializada na prestação de serviços de manutenção preventiva e corretiva em equipamentos de informática, visando atender as necessidades da Delegacia Geral de Polícia Civil do Amapá.","Menor Preco"," ",207164.2,0
"2023-05-31 14:16:29",00004/GABGOV/2023," ","PJ. Dr. Rodrigo Pimentel","Em andamento",GABGOV,"GABINETE DO GOVERNADOR","CONTRATAÇÃO EMERGENCIAL DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE BUFFET, SOB DEMANDA","Menor Preco"," ",1357810,0
"2023-05-31 11:51:06",00042/PGE/2023," ","Criar Processo","Em andamento",PGE,"PROCURADORIA-GERAL DO ESTADO","AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS PERECÍVEIS","Menor Preco"," ",0,0
"2023-05-31 11:12:03",00041/PGE/2023," ","Criar Processo","Em andamento",PGE,"PROCURADORIA-GERAL DO ESTADO","CONTRATAÇÃO DE SERVIÇO DE LIMPEZA, HIGIENIZAÇÃO E CONSERVAÇÃO, COM FORNECIMENTO DE MATERIAIS E EQUIPAMENTOS.","Menor Preco"," ",0,0
"2023-05-31 10:26:43",00018/SESA/2023," ","Apurar e Emitir Resultado","Em andamento",SESA,"SECRETARIA DE ESTADO DA SAÚDE","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM INTERMEDIAÇÃO DE FORNECIMENTO DE COMBUSTÍVEL MEDIANTE SISTEMA INFORMATIZADO COM UTILIZAÇÃO DE CARTÃO MAGNÉTICO/CHIP E COM SENHA, PARA GERENCIAMENTO DO ABASTECIMENTO DE VEÍCULOS, EMBARCAÇÕES, MAQUINÁRIOS, EQUIPAMENTOS E OUTROS SERVIÇOS PRESTADOS POR POSTOS CREDENCIADOS, VISANDO ATENDER AS NECESSIDADES DA SECRETÁRIA DE ESTADO DA SAÚDE DO AMAPÁ.","Menor Preco"," ",0,0
"2023-05-31 09:51:37",00001/SDC/2023," ","Analisar Processo","Em andamento",SDC,"SECRETARIA DE ESTADO DO DESENVOLVIMENTO DAS CIDADES","EMENDA PARLAMENTAR","Menor Preco"," ",0,0
"2023-05-31 09:01:39",00006/SEMA/2023," ","PJ. Dra. Maria Alice Lopes","Em andamento",SEMA,"SECRETARIA DE ESTADO DO MEIO AMBIENTE","AQUISIÇÃO CÂMERA FOTOGRÁFICA","Menor Preco"," ",12800,0
"2023-05-30 14:41:52",00017/SESA/2023," ","Apurar e Emitir Resultado","Em andamento",SESA,"SECRETARIA DE ESTADO DA SAÚDE","CONTRATAÇÃO EMERGENCIAL de empresa para o fornecimento de forma antecipado (CONSIGNAÇÃO) de ÓRTESES, PRÓTESES E MATERIAIS ESPECIAIS (OPMES), NÃO PADRONIZADAS PELA TABELA SUS","Menor Preco"," ",0,0
"2023-05-30 11:05:32",00005/SEMA/2023," ","Ratificar Pretensão de Contratar","Em andamento",SEMA,"SECRETARIA DE ESTADO DO MEIO AMBIENTE","AQUISIÇÃO PNEUS","Menor Preco"," ",42240,42240
"2023-05-30 09:59:13",00040/PGE/2023," ","Pesquisar Preço","Em andamento",PGE,"PROCURADORIA-GERAL DO ESTADO","CONTRATAÇÃO DO SERVIÇO DE CONSTRUÇÃO MODULAR COM PAINÉIS TERMOACÚSTICOS (SEINF)","Menor Preco"," ",0,0
"2023-05-29 18:49:51",00039/PGE/2023," ","Revisar processo e Elaborar Edital","Em andamento",PGE,"PROCURADORIA-GERAL DO ESTADO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO SERVIÇO DE BUFFET (GABGOV).","Menor Preco"," ",8513664,0
"2023-05-29 17:12:28",00012/SEINF/2023," ","Analisar Processo","Em andamento",SEINF,"SECRETARIA DE ESTADO DA INFRA-ESTRUTURA","CONTRATAÇÃO DIRETA, POR MEIO DA SECRETARIA DE INFRAESTRUTURA DO ESTADO DO AMAPÁ, DE EMPRESA PARA FORNECIMENTO E INSTALAÇÕES DE CENTRAIS E REDES DE GASES MEDICINAIS E MANUTENÇÃO PREVENTIVA E CORRETIVA DA REDE A FIM DE ATENDER AS UNIDADES DE SAÚDE DO ESTADO, EM RAZÃO DO ESTADO DE EMERGÊNCIA EM SAÚDE PÚBLICA DISPOSTO NOS DECRETOS Nº 4666 E 4667 DE 13 DE MAIO DE 2023.
","Menor Preco"," ",0,0
