CtNumero,NU_ProcessoLicitacao,CtVigenciaInicio,CtVigenciaTermino2,Tempo,OrNome,Credor,ObNome,CtValorTotal,Textbox7,CtValorTotal1
0120/2022,26.201.010049.2022,30/12/2022,29/12/2023,12,DETRAN - 26.0101,08.691.928/0001-71 - CENTRO DE FORMAÇÃO DE CONDUTORES CARIRI,SERVIÇO ESPECIALIZADO,"68.420,34",6.906 CONTRATOS,"10.826.765.409,86"
0159/2022,26.201.003234.2022,30/12/2022,29/12/2023,12,DETRAN - 26.0101,27.091.194/0001-34 - EMPRESA CONATUS CLINICA DE SAUDE & PSICOLOGIA LTDA,SERVIÇO ESPECIALIZADO,"24.346,08",6.906 CONTRATOS,"10.826.765.409,86"
0163/2022,26.201.010050.2022,30/12/2022,30/12/2023,12,DETRAN - 26.0101,05.317.111/0002-20 - CFC ALYSSON BARBOSA DE BRITO - CENTRO DE FORMAÇÃO DE CONDUTORES MONTEIRO,OUTROS SERVIÇOS ESPECIALIZADOS,"68.420,34",6.906 CONTRATOS,"10.826.765.409,86"
0165/2022,26.201.011026.2022,30/12/2022,30/12/2023,12,DETRAN - 26.0101,09.550.251/0001-14 - CFC - AUTO ESCOLA SINAL VERDE,OUTROS SERVIÇOS ESPECIALIZADOS,"67.263,71",6.906 CONTRATOS,"10.826.765.409,86"
0170/2022,26.201.003007.2022,30/12/2022,29/12/2023,12,DETRAN - 26.0101,09.685.726/0001-80 - SAYONARA LIMA -PSAY- CLÍNICA E CONSULTORIA,SERVIÇO ESPECIALIZADO,"12.173,04",6.906 CONTRATOS,"10.826.765.409,86"
0247/2022,31.206.027769.2022,30/12/2022,29/05/2023,5,CAGEPA - 31.0601,02.291.486/0006-02 - GEORG FISCHER FGS INDUSTRA E COMERCIO LTDA,MATERIAL DE USO ESPECÍFICO,"629.958,60",6.906 CONTRATOS,"10.826.765.409,86"
0259/2022,31.206.038517.2022,30/12/2022,30/04/2023,4,CAGEPA - 31.0601,42.270.058/0001-03 - G M R EQUIPAMENTOS ELETRICOS LTDA,MATERIAL DE USO ESPECÍFICO,"218.331,55",6.906 CONTRATOS,"10.826.765.409,86"
0438/2022,22.204.000206.2022,30/12/2022,30/03/2023,3,UEPB - 35.0401,67.774.679/0001-47 - NOVA ANALITICA IMPORTACAO E EXPORTACAO LTDA,MATERIAL PERMANENTE,"1.589.840,00",6.906 CONTRATOS,"10.826.765.409,86"
0089/2022,30.000.002622.2022,29/12/2022,28/12/2023,12,SEAD - 19.0001,09.189.499/0001-00 - COMPANHIA ESTADUAL DE PROCESSAMENTO DE DADOS DA PARAÍBA – CODATA,SERVIÇO ESPECIALIZADO NA ÁREA DE INFORMÁTICA,"8.450.000,00",6.906 CONTRATOS,"10.826.765.409,86"
0090/2022,30.000.004271.2022,29/12/2022,28/12/2023,12,SEAD - 19.0001,16.433.025/0001-19 - PSG EMPREENDIMENTOS E PARTICIPAÇÕES LTDA ,LOCAÇÃO DE BENS IMÓVEIS,"324.000,00",6.906 CONTRATOS,"10.826.765.409,86"
0091/2022,30.000.003342.2022,29/12/2022,28/12/2023,12,SEAD - 19.0001,203.294.664-53 - MARIA JOSENILDA MENEZES DA COSTA,LOCAÇÃO DE BENS IMÓVEIS,"48.000,00",6.906 CONTRATOS,"10.826.765.409,86"
0093/2022,30.000.000271.2022,29/12/2022,28/12/2023,12,SEAD - 19.0001,011.225.394-60 - LUIZ ALVES DE LIMA JÚNIOR ,LOCAÇÃO DE BENS IMÓVEIS,"96.000,00",6.906 CONTRATOS,"10.826.765.409,86"
0094/2022,30.000.002121.2022,29/12/2022,28/12/2023,12,SEAD - 19.0001,00.231.008/0001-69 - HGM EMPREENDIMENTOS IMOBILIÁRIOS LTDA,LOCAÇÃO DE BENS IMÓVEIS,"50.400,00",6.906 CONTRATOS,"10.826.765.409,86"
0095/2022,30.000.209847.2022,29/12/2022,28/12/2023,12,SEAD - 19.0001,691.034.104-04 - ILAUDENY FERNANDES DE ANDRADE FERREIRA,LOCAÇÃO DE BENS IMÓVEIS,"28.800,00",6.906 CONTRATOS,"10.826.765.409,86"
0123/2022,26.201.009937.2022,29/12/2022,28/12/2023,12,DETRAN - 26.0101,08.215.596/0003-10 - CENTRO DE FORMAÇÃO DE CONDUTORES BARROZO LTDA,SERVIÇO ESPECIALIZADO,"33.145,25",6.906 CONTRATOS,"10.826.765.409,86"
0140/2022,26.201.007918.2022,29/12/2022,28/12/2023,12,DETRAN - 26.0101,97.550.948/0001-52 - PSICOCLIN CLINICA DE PSICOLOGIA LTDA,SERVIÇO ESPECIALIZADO,"12.173,04",6.906 CONTRATOS,"10.826.765.409,86"
0146/2022,26.201.010365.2022,29/12/2022,28/12/2023,12,DETRAN - 26.0101,06.913.579/0001-60 - AUTO ESCOLA SANTO ANTONIO LTDA,SERVIÇO ESPECIALIZADO,"71.615,10",6.906 CONTRATOS,"10.826.765.409,86"
0158/2022,26.201.003466.2022,29/12/2022,28/12/2023,12,DETRAN - 26.0101,43.849.599/0001-45 - ESPACO INTEGRADO DE SAUDE LTDA ,SERVIÇO ESPECIALIZADO,"24.346,08",6.906 CONTRATOS,"10.826.765.409,86"
0164/2022,26.201.009939.2022,29/12/2022,28/12/2023,12,DETRAN - 26.0101,08.215.596/0002-30 - CENTRO DE FORMAÇÃO DE CONDUTORES BARROZO LTDA,SERVIÇO ESPECIALIZADO,"39.774,30",6.906 CONTRATOS,"10.826.765.409,86"
0166/2022,26.201.009934.2022,29/12/2022,29/12/2023,12,DETRAN - 26.0101,08.215.596/0001-59 - CENTRO DE FORMAÇÃO DE CONDUTORES BARROZO - LTDA,OUTROS SERVIÇOS ESPECIALIZADOS,"33.145,25",6.906 CONTRATOS,"10.826.765.409,86"
0225/2022,25.203.009477.2022R1,29/12/2022,27/06/2023,6,MFD- 25.0301,04.427.309/0001-13 - ALERTA SERVIÇOS EIRELI-ME,SERVIÇO ESPECIALIZADO,"1.472.743,32",6.906 CONTRATOS,"10.826.765.409,86"
0246/2022,31.206.027769.2022,29/12/2022,01/09/2023,9,CAGEPA - 31.0601,02.291.486/0001-90 - GEORG FISCHER FGS INDUSTRA E COMERCIO LTDA,MATERIAL DE USO ESPECÍFICO,"68.671,21",6.906 CONTRATOS,"10.826.765.409,86"
0261/2022,25.510.027051.2022,29/12/2022,27/06/2023,6,FPGS 25.5101,02.927.946/0001-23 - ALDRIN COUTINHO DE ARAÚJO EIRELI (HORT FRUT SALUTAR),GÊNEROS ALIMENTÍCIOS,"18.748,80",6.906 CONTRATOS,"10.826.765.409,86"
0270/2022,25.510.008061.2022,29/12/2022,29/12/2023,12,FPGS 25.5101,05.000.571/0001-40 - HBL - VENDAS E SERVIÇOS DE ARTIGOS MÉDICOS E ORTOPEDICOS LTDA,SERVIÇO ESPECIALIZADO NA ÁREA DE SAÚDE,"180.000,00",6.906 CONTRATOS,"10.826.765.409,86"
0430/2022,22.204.000325.2022,29/12/2022,30/03/2023,3,UEPB - 35.0401,47.010.566/0001-68 - TECNAL IND. COM. IMP. E EXP. DE EQUIP. P/ LAB.LTDA,MATERIAL PERMANENTE,"646.076,25",6.906 CONTRATOS,"10.826.765.409,86"
0431/2022,22.204.000941.2022,29/12/2022,30/03/2023,3,UEPB - 35.0401,03.796.347/0001-80 -  LUIS ROBERTO BOSCARIOL EIRELI,MATERIAL PERMANENTE,"53.800,00",6.906 CONTRATOS,"10.826.765.409,86"
0433/2022,22.204.000592.2022,29/12/2022,29/03/2023,3,UEPB - 35.0401,08.046.901/0001-26 - HIDROGOOD HORTICULTURA MODERNA LTDA,MATERIAL PERMANENTE,"260.656,61",6.906 CONTRATOS,"10.826.765.409,86"
0434/2022,22.204.000951.2022,29/12/2022,30/03/2023,3,UEPB - 35.0401,"02.830.307/0004-98 - DAFONTE VEICULOS, TRATORES, PECAS E SERVICOS LTDA",MATERIAL PERMANENTE,"1.098.000,00",6.906 CONTRATOS,"10.826.765.409,86"
0110/2022,,28/12/2022,04/04/2023,4,HCCG - 25.4201,28.345.933/0001-30 - BRAMED COMÉRCIO HOSPITALAR DO BRASIL LTDA,MATERIAL MÉDICO-HOSPITALAR,"55.296,00",6.906 CONTRATOS,"10.826.765.409,86"
0111/2022,26.201.00893.2022,28/12/2022,27/12/2023,12,DETRAN - 26.0101,02.809.413/0001-47 - CENTRO DE FORMAÇÃO DE CONDUTORES BOM JESUS,SERVIÇO ESPECIALIZADO,"70.183,34",6.906 CONTRATOS,"10.826.765.409,86"
0111/2022,,28/12/2022,12/04/2023,4,HCCG - 25.4201,28.345.933/0001-30 - BRAMED COMÉRCIO HOSPITALAR DO BRASIL LTDA,MATERIAL MÉDICO-HOSPITALAR,"53.060,00",6.906 CONTRATOS,"10.826.765.409,86"
0116/2022,26.201.009380.2022,28/12/2022,27/12/2023,12,DETRAN - 26.0101,24.281.545/0002-62 - EDILBERTO NUNES PEREIRA,SERVIÇO ESPECIALIZADO,"47.284,85",6.906 CONTRATOS,"10.826.765.409,86"
0119/2022,31.202.003542.2022,28/12/2022,28/12/2023,12,SUPLAN - 31.0201,08.680.639/0001-77 - SAÚDE OCUPACIONAL UNIMED JOÃO PESSOA,OUTROS SERVIÇOS ESPECIALIZADOS,"44.364,24",6.906 CONTRATOS,"10.826.765.409,86"
0127/2022,26.201.009082.2022,28/12/2022,27/12/2023,12,DETRAN - 26.0101,02.809.413/0002-28 - CENTRO DE FORMAÇÃO DE CONDUTORES BOM JESUS,SERVIÇO ESPECIALIZADO,"38.011,30",6.906 CONTRATOS,"10.826.765.409,86"
0128/2022,26.201.009089.2022,28/12/2022,27/12/2023,12,DETRAN - 26.0101,35.417.906/0001-90 - CENTRO DE FORMAÇÃO DE CONDUTORES AUTO ESCOLA SANTO ANDRÉ,SERVIÇO ESPECIALIZADO,"56.558,40",6.906 CONTRATOS,"10.826.765.409,86"
0132/2022,26.201.009390.2022,28/12/2022,27/12/2023,12,DETRAN - 26.0101,07.395.570/0001-77 - CENTRO DE FORMAÇÃO DE CONDUTORES NOSSA SENHORA  DO PERPETUO SOCORRO LTDA,SERVIÇO ESPECIALIZADO,"95.486,80",6.906 CONTRATOS,"10.826.765.409,86"
0139/2022,26.201.010352.2022,28/12/2022,27/12/2023,12,DETRAN - 26.0101,01.404.575/0001-32 - JOSE CAMILO DA COSTA NETO(CENTRO DE FORMAÇÃO DE CONDUTORES POTIGUAR),SERVIÇO ESPECIALIZADO,"94.365,77",6.906 CONTRATOS,"10.826.765.409,86"
0141/2022,26.201.009352.2022,28/12/2022,27/12/2023,12,DETRAN - 26.0101,09.324.110/0001-83 - CENTRO DE FORMAÇÃO DE CONDUTORES AUTO ESCOLA SANTO EXPEDITO LTDA,SERVIÇO ESPECIALIZADO,"78.244,15",6.906 CONTRATOS,"10.826.765.409,86"
0145/2022,26.201.010699.2022,28/12/2022,27/12/2023,12,DETRAN - 26.0101,09.141.603/0001-88 - CENTRO DE FORMAÇÃO DE CONDUTORES AUTO NOVA OLINDA LTDA,SERVIÇO ESPECIALIZADO,"63.829,42",6.906 CONTRATOS,"10.826.765.409,86"
0147/2022,26.201.009437.2022,28/12/2022,27/12/2023,12,DETRAN - 26.0101,24.281.545/0004-24 - AUTO ESCOLA NOSSA SENHORA DO PERPETUO SOCORRO,SERVIÇO ESPECIALIZADO,"47.284,85",6.906 CONTRATOS,"10.826.765.409,86"
0150/2022,26.201.009388.2022,28/12/2022,27/12/2023,12,DETRAN - 26.0101,24.281.545/0003-43 - AUTO ESCOLA NOSSA SENHORA DO PERPETUO SOCORRO,SERVIÇO ESPECIALIZADO,"44.640,35",6.906 CONTRATOS,"10.826.765.409,86"
0151/2022,26.201.010419.2022,28/12/2022,27/12/2023,12,DETRAN - 26.0101,21.515.014/0001-18 - CENTRO DE FORMAÇÃO DE CONDUTORES AUTO ESCOLA DO VALE MAMANGUAPE (SÃO GABRIEL),SERVIÇO ESPECIALIZADO,"61.883,00",6.906 CONTRATOS,"10.826.765.409,86"
0435/2022,22.204.000952.2022,29/12/2022,29/03/2023,3,UEPB - 35.0401,08.776.635/0001-97 - AM PEREIRA ABRANTES EIRELI,MATERIAL PERMANENTE,"69.800,00",6.906 CONTRATOS,"10.826.765.409,86"
0436/2022,22..204.000953.2022,29/12/2022,29/03/2023,3,UEPB - 35.0401,00.879.217/0001-13 - HIDROBRAS IND COMERCIO E REP DE EQUIP HIDRAULICOS LTDA,MATERIAL PERMANENTE,"29.000,00",6.906 CONTRATOS,"10.826.765.409,86"
0437/2022,22.204.000954.2022,29/12/2022,29/03/2023,3,UEPB - 35.0401,24.206.906/0001-25 - JOSE ILSOMAR VIDAL,MATERIAL PERMANENTE,"19.123,64",6.906 CONTRATOS,"10.826.765.409,86"
0439/2022,22.204.5013993.2022,29/12/2022,31/12/2022,0,UEPB - 35.0401,08.706.350/0001-80 - INCOMEL - INDÚSTRIA DE MÓVEIS LTDA,MATERIAL PERMANENTE,"767.359,00",6.906 CONTRATOS,"10.826.765.409,86"
0440/2022,22.204.513892.2022,29/12/2022,31/12/2022,0,UEPB - 35.0401,02.213.325/0002-69 - PLUGNET COMÉRCIO E REPRESENTAÇÕES LTDA,MATERIAL PERMANENTE,"1.435.145,00",6.906 CONTRATOS,"10.826.765.409,86"
1-19/2022,31.903.002202.2022,29/12/2022,29/12/2026,48,SEIRH - 31.0001,48.912.892/0001-23 - CONSÓRCIO TYPSA-ENGECORPS-FUTURE ATP EFFICO,SERVIÇO ESPECIALIZADO NA ÁREA DE ENGENHARIA,"19.482.572,94",6.906 CONTRATOS,"10.826.765.409,86"
0004/2022,,27/12/2022,27/12/2023,12,SEAFDS - 16.0001,92.559.830/0001-71 - GREENCARD REFEIÇOES COMÉRCIO E SERVIÇOS ,SERVIÇO ESPECIALIZADO,"192.000,00",6.906 CONTRATOS,"10.826.765.409,86"
0072/2022,,27/12/2022,02/10/2023,10,SEE - 22.0001,06.020.318/0001-10 - VOLKSWAGEN TRUCK & BUS INDUSTRIA E COMERCIO DE VEICULOS LTDA,AQUISIÇÃO DE VEÍCULOS,"16.600.000,00",6.906 CONTRATOS,"10.826.765.409,86"
0073/2022,,27/12/2022,03/10/2023,10,SEE - 22.0001,30.314.561/0006-30 - CIFERAL INDÚSTRIA DE ÔNIBUS LTDA,AQUISIÇÃO DE VEÍCULOS,"29.100.000,00",6.906 CONTRATOS,"10.826.765.409,86"
0093/2022,26.000.000457.2022,27/12/2022,25/06/2023,6,SEDS - 26.0001,15.027.866/0001-63 - EMPRESA FATHY ARQUITETURA E INTERIORES LTDA,SERVIÇO ESPECIALIZADO NA ÁREA DE ENGENHARIA,"252.363,52",6.906 CONTRATOS,"10.826.765.409,86"
0112/2022,26.201.008937.2022,27/12/2022,26/12/2023,12,DETRAN - 26.0101,02.840.019/0001-71 - CENTRO DE FORMAÇÃO DE CONDUTORES DINÂMICA LTDA,SERVIÇO ESPECIALIZADO,"69.668,68",6.906 CONTRATOS,"10.826.765.409,86"
0123/2022,31.202.003350.2022,27/12/2022,23/08/2023,8,SUPLAN - 31.0201,70.102.546/0001-39 - CONSTRUTORA CBR LTDA,OBRAS,"1.342.874,50",6.906 CONTRATOS,"10.826.765.409,86"
0124/2022,31.202.003265.2022,27/12/2022,22/11/2023,11,SUPLAN - 31.0201,70.102.546/0001-39 - CONSTRUTORA CBR LTDA,OBRAS,"2.160.607,06",6.906 CONTRATOS,"10.826.765.409,86"
0125/2022,31.202.002668.2022,27/12/2022,25/06/2023,6,SUPLAN - 31.0201,28.561.917/0001-84 - SANTA FÉ CONSTRUÇÕES EIRELI,OBRAS,"554.021,46",6.906 CONTRATOS,"10.826.765.409,86"
0127/2022,31.202.001673.2022,27/12/2022,23/09/2023,9,SUPLAN - 31.0201,04.023.803/0001-12 - CONSTRUDANTAS CONSTRUÇÃO E INCORPORAÇÃO LTDA,OBRAS,"4.941.388,33",6.906 CONTRATOS,"10.826.765.409,86"
0128/2022,31.202.002734.2022,27/12/2022,22/11/2023,11,SUPLAN - 31.0201,03.693.340/0001-33 - 3M CONSTRUÇÕES LTDA,OBRAS,"2.599.897,12",6.906 CONTRATOS,"10.826.765.409,86"
0129/2022,31.202.003303.2022,27/12/2022,22/11/2023,11,SUPLAN - 31.0201,"00.976.179/0001-17 - LINK ENGENHARIA, INDÚSTRIA E COMÉRCIO LTDA",OBRAS,"4.659.929,56",6.906 CONTRATOS,"10.826.765.409,86"
0130/2022,31.202.002823.2022,27/12/2022,22/11/2023,11,SUPLAN - 31.0201,20.949.329/0001-00 - PRIIMEE CONSTRUÇÕES E EMPREENDIMENTOS EIRELI-EPP,OBRAS,"2.348.698,49",6.906 CONTRATOS,"10.826.765.409,86"
0135/2022,26.201.014797.2022,27/12/2022,27/12/2023,12,DETRAN - 26.0101,41.482.508/0001-50 - AIDA CINTIA MENDES DE AZEVEDO - PSICOLOGA CINTIA AZEVEDO,OUTROS SERVIÇOS ESPECIALIZADOS,"36.519,12",6.906 CONTRATOS,"10.826.765.409,86"
0160/2022,26.201.017405.2022,28/12/2022,27/12/2023,12,DETRAN - 26.0101,24.043.027/0001-20 - ALL MED SERVIÇOS MÉDICOS LTDA,SERVIÇO ESPECIALIZADO,"73.038,24",6.906 CONTRATOS,"10.826.765.409,86"
0161/2022,26.201.009080.2022,28/12/2022,27/12/2023,12,DETRAN - 26.0101,06.980.321/0001-86 - MARIA DAS NEVES DE SOUZA LIMA CONDUTORES,SERVIÇO ESPECIALIZADO,"95.486,80",6.906 CONTRATOS,"10.826.765.409,86"
0162/2022,26.201.016890.2022,28/12/2022,27/12/2027,60,DETRAN - 26.0101,069.861.024-53 - ADERALDO MATIAS DE OLIVEIRA,LOCAÇÃO DE BENS IMÓVEIS,"55.200,00",6.906 CONTRATOS,"10.826.765.409,86"
0167/2022,26.201.008875.2022,27/12/2022,27/12/2023,12,DETRAN - 26.0101,38.543.972/0001-03 - BREJO SERVIÇO DE VISTORIA VEICULAR LTDA,OUTROS SERVIÇOS ESPECIALIZADOS,,6.906 CONTRATOS,"10.826.765.409,86"
0222/2022,31.206.039838.2022,28/12/2022,28/12/2027,60,CAGEPA - 31.0601,237.846.794-04 - JOSE MARIO PORTO JUNIOR,LOCAÇÃO DE IMÓVEL URBANO,"900.000,00",6.906 CONTRATOS,"10.826.765.409,86"
0256/2022,31.206.014910.2022,28/12/2022,28/12/2023,12,CAGEPA - 31.0601,13.408.085/0001-93 - WJX CONSTRUÇÕES E SERVIÇOS LTDA,OBRAS,"468.742,61",6.906 CONTRATOS,"10.826.765.409,86"
0513/2022,19.000.002999.2021,27/12/2022,30/12/2022,0,FUNESC - 33.0101,04.602.789/0001-01 - DATEN TECNOLOGIA LTDA,EQUIPAMENTOS E SOFTWARES DE INFORMÁTICA,"61.069,00",6.906 CONTRATOS,"10.826.765.409,86"
0025/2022,29.204.000338.2022,26/12/2022,26/06/2023,6,EPC - 29.0401,41.185.345/0001-44 - BUD CRUZ EIRELLI,MATERIAL DE USO ESPECÍFICO,"91.200,00",6.906 CONTRATOS,"10.826.765.409,86"
0057/2022,19.000.033320.2019,23/12/2022,19/09/2023,9,SEE - 22.0001,06.198.597/0001-07 - APFORM INDUSTRIA E COMERCIO DE MOVEIS LTDA,AQUISIÇÃO DE BENS MÓVEIS,"3.000.000,00",6.906 CONTRATOS,"10.826.765.409,86"
0106/2022,31.205.010283.2022,26/12/2022,31/12/2022,0,SUDEMA - 34.0101,07.315.353/0001-20 - EDUARDO LIMA DANTAS- ME,AQUISIÇÃO DE BENS IMÓVEIS,"23.500,00",6.906 CONTRATOS,"10.826.765.409,86"
0113/2022,26.201.009938.2022,26/12/2022,25/12/2023,12,DETRAN - 26.0101,01.217.552/0004-61 - GUTIEN RUBENS BATISTA DE ALMEIDA(CENTRO DE FORMAÇÃO DE CONDUTORES APRENDA FÁCIL,SERVIÇO ESPECIALIZADO,"54.097,32",6.906 CONTRATOS,"10.826.765.409,86"
0115/2022,26.201.009032.2022,26/12/2022,26/12/2023,12,DETRAN - 26.0101,01.217.552/0002-08 - GUTIEN RUBENS BATISTA ALMEIDA - CENTRO DE FORMAÇÃO DE CONDUTORES APRENDA FÁCIL ,OUTROS SERVIÇOS ESPECIALIZADOS,"54.097,32",6.906 CONTRATOS,"10.826.765.409,86"
0125/2022,26.201.009030.2022,26/12/2022,26/12/2023,12,DETRAN - 26.0101,01.217.552/0001-19 - GUTIEN RUBENS BATISTA ALMEIDA - CENTRO DE FORMAÇÃO DE CONDUTORES APRENDA FÁCIL ,OUTROS SERVIÇOS ESPECIALIZADOS,"59.936,58",6.906 CONTRATOS,"10.826.765.409,86"
0126/2022,31.202.002768.2022,26/12/2022,20/01/2024,13,SUPLAN - 31.0201,15.521.000/0001-04 - RF DUTRA CONSTRUÇÕES EIRELI-EPP,OBRAS,"4.728.219,00",6.906 CONTRATOS,"10.826.765.409,86"
0129/2022,26.201.009595.2022,26/12/2022,26/12/2023,12,DETRAN - 26.0101,03.716.996/0001-24 - CENTRO DE FORMAÇÃO DE CONDUTORES TALLENTUS - LTDA - JAGUARIBE,OUTROS SERVIÇOS ESPECIALIZADOS,"51.452,82",6.906 CONTRATOS,"10.826.765.409,86"
0212/2022,25.215.000118.2022,23/12/2022,31/12/2022,0,HEETSHL - 25.1501,08.778.201/0001-26 - DROGAFONTE LTDA,MEDICAMENTOS,"979,00",6.906 CONTRATOS,"10.826.765.409,86"
0214/2022,25.215.000118.2022,23/12/2022,31/12/2022,0,HEETSHL - 25.1501,60.665.981/0009-75 - UNIAO QUIMICA FARMACEUTICA NACIONAL S A,MEDICAMENTOS,"1.870,00",6.906 CONTRATOS,"10.826.765.409,86"
0217/2022,19.000.007988.2021,23/12/2022,31/12/2022,0,HEETSHL - 25.1501,10.795.950/0001-03 - LANCELLETE BIOMEDICAL LTDA,MATERIAL MÉDICO-HOSPITALAR,"58.900,00",6.906 CONTRATOS,"10.826.765.409,86"
0220/2022,19.000.004219.2021,23/12/2022,31/12/2022,0,HEETSHL - 25.1501,30.397.976/0001-00 - LL COMÉRCIO DE ALIMENTOS LTDA,GÊNEROS ALIMENTÍCIOS,"172.420,58",6.906 CONTRATOS,"10.826.765.409,86"
0223/2022,25.215.000145.2022,23/12/2022,31/12/2022,0,HEETSHL - 25.1501,02.368.789/0001-63 - INDUSTRIA DE POLPAS NATURAL SABOR - EIRELI,GÊNEROS ALIMENTÍCIOS / HOSPITAIS,"18.802,20",6.906 CONTRATOS,"10.826.765.409,86"
0244/2022,31.206.027769.2022,23/12/2022,22/07/2023,7,CAGEPA - 31.0601,01.000.334/0001-28 - BERMAD BRASIL INDUSTRIA DE VÁLVULAS LTDA,MATERIAL DE USO ESPECÍFICO,"53.213,43",6.906 CONTRATOS,"10.826.765.409,86"
0250/2022,31.206.026692.2022,26/12/2022,24/07/2023,7,CAGEPA - 31.0601,"07.346.027/0001-80 - GENSET SOLUTIONS INDUSTRIA, COMERCIO, IMPORTAÇÃO E EXPORTAÇÃO DE GRUPOS MOTO-GER","MÁQUINAS, MOTORES E EQUIPAMENTOS","120.000,00",6.906 CONTRATOS,"10.826.765.409,86"
0254/2022,31.206.014430.2022,26/12/2022,26/12/2023,12,CAGEPA - 31.0601,02.064.150/0004-37 - TAF INDUSTRIA DE PLASTICOS LTDA,MATERIAL DE USO ESPECÍFICO,"866.350,00",6.906 CONTRATOS,"10.826.765.409,86"
0815/2022,19.000.003664.2020,26/12/2022,26/06/2023,6,SEDH - 27.0001,17.417.928/0001-79 - VENTISOL DA AMAZONIA INDÚSTRIA DE APARELHOS ELÉTRICOS LTDA,MATERIAL PERMANENTE,"61.814,00",6.906 CONTRATOS,"10.826.765.409,86"
0838/2022,27.000.003323.2022,26/12/2022,26/12/2023,12,SEDH - 27.0001,33.444.745/0001-07 - EXATA CONSTRUÇÕES E ENGENHARIA LTDA,MANUTENÇÃO E RECUPERAÇÃO,"137.227,63",6.906 CONTRATOS,"10.826.765.409,86"
0839/2022,19.000.000682.2021,27/12/2022,27/03/2023,3,SEDH - 27.0001,19.918.905/0001-73 - THOMAS JOSÉ BELTRÃO DE ARAÚJO ALBUQUERQUE,MATERIAL PERMANENTE,"33.912,00",6.906 CONTRATOS,"10.826.765.409,86"
