CtNumero,NU_ProcessoLicitacao,CtVigenciaInicio,CtVigenciaTermino2,Tempo,OrNome,Credor,ObNome,CtValorTotal,Textbox7,CtValorTotal1
0059/2021,27.201.002882.2021,22/12/2021,22/02/2022,2,FUNDAC - 27.0101,03.775.588/0001-43 - SERVIÇO NACIONAL DE APRENDIZAGEM INDUSTRIAL,SERVIÇOS,"29.000,00",6.171 CONTRATOS,"10.208.904.525,07"
0061/2021,22.000.015922.2021,22/12/2021,22/12/2022,12,SEE - 22.0001,40.432.544/0001-47 - CLARO S/A,SERVIÇO ESPECIALIZADO NA ÁREA DE COMUNICAÇÃO,"474.033,48",6.171 CONTRATOS,"10.208.904.525,07"
0113/2021,31.202.002025.2021,23/12/2021,12/05/2022,5,SUPLAN - 31.0201,17.278.993/0001-60 - LP CONSTRUTORA E LOCADORA DE MÁQUINAS EIRELI EPP,OBRAS,"202.775,11",6.171 CONTRATOS,"10.208.904.525,07"
0114/2021,31.202.000178.2021,23/12/2021,24/09/2023,21,SUPLAN - 31.0201,17.278.993/0001-60 - LP CONSTRUTORA E LOCADORA DE MÁQUINAS EIRELI EPP,OBRAS,"5.460.076,12",6.171 CONTRATOS,"10.208.904.525,07"
0150/2021,25.216.001759.2021,22/12/2021,22/06/2022,6,HRUECG - 25.1601,20.947.671/0001-71 - ARRUDA PINTO SERVIÇOS DE MANUTENÇÃO DE EQUIPAMENTOS MÉDICOS E HOSPITALARES LTDA,SERVIÇO ESPECIALIZADO,"48.000,00",6.171 CONTRATOS,"10.208.904.525,07"
0342/2021,31.206.029814.2021,22/12/2021,22/12/2022,12,CAGEPA - 31.0601,06.347.221/0002-06 - ACCAETANO COMÉRCIO E CONSTRUÇÕES LTDA,MATERIAL DE USO ESPECÍFICO,"1.153.246,80",6.171 CONTRATOS,"10.208.904.525,07"
0344/2021,,23/12/2021,21/02/2022,2,CAGEPA - 31.0601,"66.582.784/0001-11 - MAPDATA  TECNOLOGIA, INFORMATICA E COMERCIO LTDA",SERVIÇO ESPECIALIZADO NA ÁREA DE INFORMÁTICA,"633.995,00",6.171 CONTRATOS,"10.208.904.525,07"
0466/2021,,27/12/2021,31/12/2022,12,SEDH - 27.0001,29.903.019/0001-20 - META COMÉRCIO E SERVIÇOS EIRELI ,MATERIAL ESPORTIVO,"271.396,10",6.171 CONTRATOS,"10.208.904.525,07"
0623/2021,25.000.000536.2021,27/12/2021,25/06/2022,6,SES - 25.0001,33.765.573/0001-65 - HOME CARE E CLINICA JK PRESTAÇÃO DE SERVIÇOS DE INFRAESTRUTURA E APOIO DE ASSIST,SERVIÇO DE SAÚDE,"150.000,00",6.171 CONTRATOS,"10.208.904.525,07"
0945/2021,22.204.000081.2021,22/12/2021,31/12/2021,0,UEPB - 35.0401,00.351.210/0001-24 - PERKINELMER DO BRASIL LTDA,EQUIPAMENTOS,"263.278,69",6.171 CONTRATOS,"10.208.904.525,07"
0948/2021,22.204.45852018.2019,23/12/2021,31/12/2021,0,UEPB - 35.0401,"47.010.566/0001-68 - TECNAL INDUSTRIA, COMERCIO, IMPORTAÇÃO E EXPORTAÇÃO DE EQUIPAMENTOS PARA LABORAT",EQUIPAMENTOS,"375.000,00",6.171 CONTRATOS,"10.208.904.525,07"
0034/2021,34.204.212021.2021,20/12/2021,20/12/2026,60,PBGÁS - 34.0401,03.784.680/0004-12 - SERVIÇO NACIONAL DE APRENDIZAGEM INDUSTRIAL - CTGÁS-ER,OUTROS EVENTOS,"480.714,52",6.171 CONTRATOS,"10.208.904.525,07"
0040/2021,25.237.0000252.2021,21/12/2021,19/06/2022,6,MPF- 25.1101,11.426.166/0001-90 - DIAGFARMA COMERCIO E SERVIÇO DE PRODUÇÃO HOSPITALAR E LABORATORIAL,SERVIÇO ESPECIALIZADO NA ÁREA DE SAÚDE,"38.400,00",6.171 CONTRATOS,"10.208.904.525,07"
0042/2021,25.237.000304.2021,21/12/2021,19/06/2022,6,MPF- 25.1101,40.938.508/0001-50 - MAQ LAREM MÁQUINAS MÓVEIS E EQUIPAMENTOS LTDA,LOCAÇÃO DE MÁQUINAS E EQUIPAMENTOS,"48.474,00",6.171 CONTRATOS,"10.208.904.525,07"
0045/2021,,21/12/2021,15/06/2023,18,CINEP - 21.0101,37.827.914/0001-30 - XCON CONSTRUÇÃO E SERVIÇOS LTDA,MANUTENÇÃO E RECUPERAÇÃO,"182.764,06",6.171 CONTRATOS,"10.208.904.525,07"
0094/2021,25.240.000195.2021,21/12/2021,21/06/2022,6,HCCG - 25.4201,04.938.960/0001-58 - RM LABORATÓRIO CLÍNICO LTDA,SERVIÇO ESPECIALIZADO NA ÁREA DE SAÚDE,"2.289.986,40",6.171 CONTRATOS,"10.208.904.525,07"
0129/2021,30.000.033824.2021,20/12/2021,19/12/2022,12,SEAD - 19.0001,281.695.304-15 - MARIA ELZA MARTINS DE ANDRADE,LOCAÇÃO DE BENS IMÓVEIS,"6.480,00",6.171 CONTRATOS,"10.208.904.525,07"
0130/2021,19.000.000973.2021,20/12/2021,31/12/2021,0,SEAD - 19.0001,40.689.972/0001-50 - HYPER TECHNOLOGIES COMÉRCIO DE INFORMÁTICA E SERVIÇO EIRELI,EQUIPAMENTOS E SOFTWARES DE INFORMÁTICA,"1.953,70",6.171 CONTRATOS,"10.208.904.525,07"
0142/2021,25.203.001662.2021,21/12/2021,19/06/2022,6,MFD- 25.0301,02.715.056/0001-58 - ALERTA SEGURANÇA ELETRÔNICA EIRELI-ME,SERVIÇO ESPECIALIZADO,"267.600,00",6.171 CONTRATOS,"10.208.904.525,07"
0306/2021,31.206.032246.2021,20/12/2021,20/12/2022,12,CAGEPA - 31.0601,13.914.027/0001-31 - HIDROLUX INDÚSTRIA E COMÉRCIO DE MATERIAIS HIDRÁULICOS EIRELI-ME,MATERIAL DE USO ESPECÍFICO,"468.656,50",6.171 CONTRATOS,"10.208.904.525,07"
0572/2021,19.000.004492.2020,20/12/2021,31/12/2021,0,SES - 25.0001,30.323.616/0001-64 - QUICKBUM E-COMMERCE - EIRELI,AQUISIÇÃO DE EQUIPAMENTOS HOSPITALARES,"104.610,00",6.171 CONTRATOS,"10.208.904.525,07"
0583/2021,25.000.000654.2021,20/12/2021,18/06/2022,6,SES - 25.0001,81.887.838/0007-36 - PROFARMA SPECIALTY S.A,MEDICAMENTOS,"85.356,00",6.171 CONTRATOS,"10.208.904.525,07"
0584/2021,25.000.000654.2021,20/12/2021,18/06/2022,6,SES - 25.0001,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,MEDICAMENTOS,"97.563,60",6.171 CONTRATOS,"10.208.904.525,07"
0608/2021,25.000.001176.2021,21/12/2021,31/12/2021,0,SES - 25.0001,11.563.145/0001-17 - COMERCIAL MOSTAERT LTDA,MEDICAMENTOS,"57.304,00",6.171 CONTRATOS,"10.208.904.525,07"
0613/2021,25.000.000654.2021,20/12/2021,18/06/2022,6,SES - 25.0001,02.433.631/0001-20 - ASPEN PHARMA INDUSTRIA FARMACEUTICA LTDA,MEDICAMENTOS,"1.106,00",6.171 CONTRATOS,"10.208.904.525,07"
0617/2021,25.000.2805572.2021,21/12/2021,18/09/2022,9,SES - 25.0001,34.783.473/0001-24 - LOUREIRO SERVIÇOS DE ENGENHARIA EIRELI - ME,OBRAS,"319.730,62",6.171 CONTRATOS,"10.208.904.525,07"
0618/2021,25.000.002629.2021,20/12/2021,31/12/2021,0,SES - 25.0001,01.478.812/0001-00 - SERGYENE INDUSTRIA E COMERCIO LTDA,OUTROS MATERIAIS DE USO ESPECÍFICO,"2.051.436,40",6.171 CONTRATOS,"10.208.904.525,07"
0619/2021,25.000.001251.2021,20/12/2021,31/12/2021,0,SES - 25.0001,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS SA,MEDICAMENTOS,"258.261,48",6.171 CONTRATOS,"10.208.904.525,07"
0624/2021,25.239.000273.2021,20/12/2021,31/12/2021,0,HMDJMP - 25.4001,01.772.798/0006-67 - MEDTRONIC COMERCIAL LTDA,MATERIAL DA ÁREA DE SAÚDE,"85.000,00",6.171 CONTRATOS,"10.208.904.525,07"
0626/2021,25.239.000280.2021,20/12/2021,31/12/2021,0,HMDJMP - 25.4001,01.687.725/0002-43 - CENTRO ESPECIALIZADO EM NUTRIÇÃO ENTERAL E PARENTERAL CENEP,MATERIAL DA ÁREA DE SAÚDE,"24.531,00",6.171 CONTRATOS,"10.208.904.525,07"
075//2021,31.203.000103.2021,21/12/2021,21/12/2022,12,DOCAS - 31.0301,51.962.678/0001-96 - FUNDAÇÃO PARA VESTIBULAR DA UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FIL,SERVIÇO ESPECIALIZADO NA ÁREA DE EDUCAÇÃO E CULTURA,"0,01",6.171 CONTRATOS,"10.208.904.525,07"
0020/2021,20.000.122019.2020,17/12/2021,16/12/2024,36,SEFAZ - 20.0001,34.203.752/0001-71 - COMDADOS COMÉRCIO E SERVIÇOS ELETRÔNICOS LTDA,SERVIÇO ESPECIALIZADO NA ÁREA DE INFORMÁTICA,"923.780,00",6.171 CONTRATOS,"10.208.904.525,07"
0027/2021,19.000.010371.2020,18/12/2021,31/12/2021,0,FUNESBOM - 57.0001 ,03.607.889/0001-68 - SERGIO PROVIM E CIA LTDA,AQUISIÇÃO DE FERRAMENTAS,"41.858,25",6.171 CONTRATOS,"10.208.904.525,07"
0038/2021,29.204.000280.2021,16/12/2021,16/12/2024,36,EPC - 29.0401,61.533.949/0001-41 - S.A O ESTADO DE S. PAULO,SERVIÇO ESPECIALIZADO,"221.895,72",6.171 CONTRATOS,"10.208.904.525,07"
0041/2021,25.237.000302.2021,16/12/2021,31/12/2021,0,MPF- 25.1101,03.977.181/0001-07 - PLATINA MINERAL LTDA,GÊNEROS ALIMENTÍCIOS / HOSPITAIS,"36.000,00",6.171 CONTRATOS,"10.208.904.525,07"
0044/2021,21.201.000867.2020,17/12/2021,14/12/2022,12,CINEP - 21.0101,26.079.842/0001-74 - GAVER SERVIÇOS DE ENGENHARIA LTDA,OUTROS SERVIÇOS ESPECIALIZADOS,"769.500,00",6.171 CONTRATOS,"10.208.904.525,07"
0047/2021,25.237.000317.2021,18/12/2021,16/06/2022,6,MPF- 25.1101,"20.546.182/0002-99 - SERVBRASIL SOLUÇÕES EM ALIMENTAÇÃO, LIMPEZA E LAVANDERIA LTDA",SERVIÇO DE LAVAGEM DE ROUPA,"1.033.500,00",6.171 CONTRATOS,"10.208.904.525,07"
0088/2021,25.240.000185.2021,16/12/2021,31/12/2021,0,HCCG - 25.4201,40.787.152/0001-09 - CIRUFARMA COMERCIAL LTDA,MEDICAMENTOS,"101.583,50",6.171 CONTRATOS,"10.208.904.525,07"
0089/2021,31.205.005386.2021,16/12/2021,21/12/2022,12,SUDEMA - 34.0101,05.555.382/0001-33 - AOVS SISTEMAS DE INFORMÁTICA S.A.,SERVIÇO ESPECIALIZADO,"8.400,00",6.171 CONTRATOS,"10.208.904.525,07"
0089/2021,25.240.000185.2021,16/12/2021,31/12/2021,0,HCCG - 25.4201,"15.218.561/0001-39 - NNMED - DISTRIBUIÇÃO, IMPORTAÇÃO E EXPORTAÇÃO DE MEDICAMENTOS LTDA",MEDICAMENTOS,"2.273.634,00",6.171 CONTRATOS,"10.208.904.525,07"
0090/2021,25.240.000185.2021,16/12/2021,31/12/2021,0,HCCG - 25.4201,02.977.362/0001-62 - A. COSTA COMÉRCIO ATACADISTA DE PRODUTOS FARMACÊUTICOS LTDA,MEDICAMENTOS,"1.503.004,30",6.171 CONTRATOS,"10.208.904.525,07"
0091/2021,25.240.000185.2021,17/12/2021,31/12/2021,0,HCCG - 25.4201,44.734.671/0001-51 - CRISTALIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA,MEDICAMENTOS,"90.990,49",6.171 CONTRATOS,"10.208.904.525,07"
0112/2021,19.000.044972.2020,17/12/2021,31/12/2021,0,HEETSHL - 25.1501,28.167.665/0001-03 - SOS COMERCIO DE MATERIAIS MÉDICOS HOSPITALARES EIRELLI - EPP,MATERIAL MÉDICO-HOSPITALAR,"3.312,00",6.171 CONTRATOS,"10.208.904.525,07"
0331/2021,31.206.027001.2021,17/12/2021,17/06/2022,6,CAGEPA - 31.0601,00.388.547/0001-06 - PACTO PROJETO E OBRAS LTDA,OBRAS DE ADUÇÃO,"2.756.398,53",6.171 CONTRATOS,"10.208.904.525,07"
0506/2021,27.000.005877.2021,17/12/2021,09/09/2023,21,SEDH - 27.0001,12.231.378/0001-85 - IT INFORMATION TECHNOLOGY COMÉRCIO E SERVIÇOS DE INFORMÁTICA LTDA,SERVIÇO ESPECIALIZADO,"53.480.700,00",6.171 CONTRATOS,"10.208.904.525,07"
0604/2021,25.000.001624.2021,17/12/2021,31/12/2021,0,SES - 25.0001,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,MEDICAMENTOS,"84.214,80",6.171 CONTRATOS,"10.208.904.525,07"
0611/2021,25.000.000444.2021,17/12/2021,31/12/2021,0,SES - 25.0001,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,MEDICAMENTOS,"37.905,12",6.171 CONTRATOS,"10.208.904.525,07"
0625/2021,25.239.000280.2021,17/12/2021,31/12/2021,0,HMDJMP - 25.4001,01.722.296/0001-17 - PANORAMA COMERCIO DE PRODUTOS MÉDICOS E FARMACÊUTICOS LTDA,MATERIAL DA ÁREA DE SAÚDE,"10.712,20",6.171 CONTRATOS,"10.208.904.525,07"
0628/2021,25.239.000280.2021,20/12/2021,31/12/2021,0,HMDJMP - 25.4001,24.958.749/0001-04 - SABRINA MARTHA RAMALHO MENDES COMÉRCIO DE ARTIGOS MÉDICOS EIRELI,MATERIAL DA ÁREA DE SAÚDE,"5.200,00",6.171 CONTRATOS,"10.208.904.525,07"
0629/2021,25.239.000280.2021,20/12/2021,31/12/2021,0,HMDJMP - 25.4001,06.204.103/0001-50 - R S DOS SANTOS COMERCIO EIRELI,MATERIAL DA ÁREA DE SAÚDE,"4.865,00",6.171 CONTRATOS,"10.208.904.525,07"
0947/2021,22.204.012605.2021,20/12/2021,31/12/2021,0,UEPB - 35.0401,37.827.914/0001-30 - XCON CONSTRUÇÃO E SERVIÇOS LTDA,SERVIÇO ESPECIALIZADO,"36.999,55",6.171 CONTRATOS,"10.208.904.525,07"
0003/2021,09.201.004077.2021,15/12/2021,14/12/2023,24,PBPREV - 09.0101,09.189.499/0001-00 - COMPANHIA DE PROCESSAMENTO DE DADOS DA PARAÍBA,SERVIÇO ESPECIALIZADO NA ÁREA DE INFORMÁTICA,"92.208,00",6.171 CONTRATOS,"10.208.904.525,07"
0029/2021,,15/12/2021,14/12/2026,60,SEAD - 19.0001,08.741.688/0001-72 - PREFEITURA MUNICIPAL DE POCINHOS,CESSÃO DE USO DE BENS MÓVEIS E IMÓVEIS,,6.171 CONTRATOS,"10.208.904.525,07"
0036/2021,25.234.000028.2021,15/12/2021,31/12/2021,0,LACEN 25.3701,07.796.331/0001-29 - INDUSLAB NORDESTE COMÉRCIO DE PRODUTOS PARA LABORATÓRIOS LTDA,MATERIAL PARA LABORATÓRIO E PESQUISA,"210.000,00",6.171 CONTRATOS,"10.208.904.525,07"
0041/2021,29.204.000300.2021,15/12/2021,15/12/2023,24,EPC - 29.0401,18.226.819/0001-37 - EDNALDO FRANCISCO DE CARVALHO ME,OUTROS SERVIÇOS ESPECIALIZADOS,"263.988,00",6.171 CONTRATOS,"10.208.904.525,07"
0045/2021,15.000.000514.2021,15/12/2021,15/05/2022,5,PM/PB - 15.0001,28.099.674/0001-04 - CFR CONSTRUÇÕES E SERVIÇOS EIRELI,SERVIÇO ESPECIALIZADO NA ÁREA DE ENGENHARIA,"293.613,72",6.171 CONTRATOS,"10.208.904.525,07"
0057/2021,,15/12/2021,15/12/2022,12,SEDS - 26.0001,00.000.000/0000-00 - FABBRICA DARMI PIETRO BERETTA S.P.A,ARMAMENTOS E EQUIPAMENTOS MILITARES,"6.612.753,91",6.171 CONTRATOS,"10.208.904.525,07"
0092/2021,25.240.000185.2021,16/12/2021,31/12/2021,0,HCCG - 25.4201,19.125.796/0001-37 - NORDMARKET COMÉRCIO DE PRODUTOS HOSPITALARES LTDA,MEDICAMENTOS,"3.168,00",6.171 CONTRATOS,"10.208.904.525,07"
0093/2021,25.240.000185.2021,16/12/2021,31/12/2021,0,HCCG - 25.4201,09.074.443/0001-00 - MSA COMÉRCIO DE PRODUTOS MÉDICOS E HOSPITALARES LTDA,MEDICAMENTOS,"5.277,60",6.171 CONTRATOS,"10.208.904.525,07"
0126/2021,19.000.000973.2021,15/12/2021,31/12/2021,0,SEAD - 19.0001,04.602.789/0001-01 - DATEN TECNOLOGIA LTDA,EQUIPAMENTOS E SOFTWARES DE INFORMÁTICA,"49.740,00",6.171 CONTRATOS,"10.208.904.525,07"
0127/2021,30.000.443880.2021,16/12/2021,15/12/2022,12,SEAD - 19.0001,08.757.312/0001-56 - CONGREGAÇÃO DAS IRMÃS MISSIONÁRIAS CARMELITA ,LOCAÇÃO DE BENS IMÓVEIS,"66.000,00",6.171 CONTRATOS,"10.208.904.525,07"
0128/2021,30.000.011880.2021,16/12/2021,15/12/2022,12,SEAD - 19.0001,09.140.351/0021-16 - ARQUIDIOCESE DA PARAÍBA - PARÓQUIA SÃO JOSÉ OPERÁRIO,LOCAÇÃO DE BENS IMÓVEIS,"58.800,00",6.171 CONTRATOS,"10.208.904.525,07"
0148/2021,25.216.001791.2021,15/12/2021,15/06/2022,6,HRUECG - 25.1601,36.955.189/0001-13 - ALINE DE SOUZA BEZERRA FERREIRA EIRELI,SERVIÇO ESPECIALIZADO,"37.800,00",6.171 CONTRATOS,"10.208.904.525,07"
0240/2021,,15/12/2021,15/02/2023,14,CAGEPA - 31.0601,24.173.117/0001-35 - ENGEDUX ENGENHARIA E CONSTRUÇÃO EIRELI - EPP,AMPLIAÇÃO E CONSERVAÇÃO DE REDE DE ESGOTO SANITÁRIO,"1.359.843,90",6.171 CONTRATOS,"10.208.904.525,07"
0338/2021,31.206.027686.2021,16/12/2021,16/03/2022,3,CAGEPA - 31.0601,002.411.304-25 - JOSÉ REINOLDS CARDOSO DE MELO,PATROCÍNIOS,"8.150,00",6.171 CONTRATOS,"10.208.904.525,07"
0573/2021,19.000.004492.2020,16/12/2021,31/12/2021,0,SES - 25.0001,20.102.529/0001-23 - SALKMEDICAL SERVIÇOS E COMÉRICO DE PRODUTOS PARA  SAÚDE LTDA,AQUISIÇÃO DE EQUIPAMENTOS HOSPITALARES,"179.340,00",6.171 CONTRATOS,"10.208.904.525,07"
0574/2021,19.000.004492.2020,16/12/2021,31/12/2021,0,SES - 25.0001,79.805.263/0001-28 - KSS COMÉRCIO E IND. DE EQUIPAMENTOS MÉDICOS LTDA,AQUISIÇÃO DE EQUIPAMENTOS HOSPITALARES,"1.032.000,00",6.171 CONTRATOS,"10.208.904.525,07"
071//2021,31.203.000088.2021,16/12/2021,06/12/2023,24,DOCAS - 31.0301,19.045.361/0001-82 - PREMIUM CONSERVADORA E CONSTRUÇÕES EIRELI-ME,SERVIÇO ESPECIALIZADO NA ÁREA ADMINISTRATIVA,"334.277,52",6.171 CONTRATOS,"10.208.904.525,07"
0943/2021,22.204.011414.2021,16/12/2021,16/12/2022,12,UEPB - 35.0401,09.366.790/0001-06 - EMPRESA PARAIBANA DE COMUNICAÇÃO S/A,SERVIÇO ESPECIALIZADO,"187.500,00",6.171 CONTRATOS,"10.208.904.525,07"
0944/2021,22.204.000114.2021,16/12/2021,31/12/2021,0,UEPB - 35.0401,"47.010.566/0001-68 - TECNAL INDUSTRIA, COMERCIO, IMPORTAÇÃO E EXPORTAÇÃO DE EQUIPAMENTOS PARA LABORAT",MATERIAL PERMANENTE,"662.950,00",6.171 CONTRATOS,"10.208.904.525,07"
