2022;SECRETARIA DE DESENVOLVIMENTO SOCIAL; CRIANçA E JUVENTUDE DE PERNAMBUCO;TC003/2022;2.099 SERVIÇO;;EM EXECUçãO;;10333399000186 - INSTITUTO ENSINAR DE DESENVOLVIMENTO SOCIAL-IEDES;2022/09/14 00:00:00.000;2023/03/13 00:00:00.000; 5129359.25;
2021;SECRETARIA DE EDUCAçãO E ESPORTES;036/2021;3.136 CONTRATO DE GESTÃO EM SERVIÇOS CIENTÍFICOS E TECNOLÓGICOS;;EM EXECUçãO;;7797967000195 - NP CAPACITAÇÃO E SOLUÇÕES TECNOLÓGICAS LTDA;2021/03/05 00:00:00.000;2022/03/04 00:00:00.000; 17950.0;http://web.transparencia.pe.gov.br/contratos/989/LICON_Contrato_989_2021_036_962862.pdf;
2021;SECRETARIA DE EDUCAçãO E ESPORTES DE PERNAMBUCO;036/2021;3.136 CONTRATO DE GESTÃO EM SERVIÇOS CIENTÍFICOS E TECNOLÓGICOS;;EM EXECUçãO;;7797967000195 - NP CAPACITAÇÃO E SOLUÇÕES TECNOLÓGICAS LTDA;2021/03/05 00:00:00.000;2022/03/04 00:00:00.000; 17950.0;;
2021;SECRETARIA DE MEIO AMBIENTE E SUSTENTABILIDADE DE PERNAMBUCO;023/2021;3.136 CONTRATO DE GESTÃO EM SERVIÇOS CIENTÍFICOS E TECNOLÓGICOS;;EM EXECUçãO;jan/20;5774391000115 - ASSOCIAÇÃO INSTITUTO DE TECNOLOGIA DE PERNAMBUCO ITEP;2021/03/16 00:00:00.000;2023/09/15 00:00:00.000; 4774023.46;http://web.transparencia.pe.gov.br/contratos/1348/LICON_Contrato_1348_2021_023_1085174.pdf;
2021;SECRETARIA DE SAúDE DE PERNAMBUCO;001/2021;3.136 CONTRATO DE GESTÃO EM SERVIÇOS CIENTÍFICOS E TECNOLÓGICOS;;EM EXECUçãO;1625/2020;65494742000166 - WEGH ASSESSORIA E LOGISTICA INTERNACIONAL LTDA EPP;2021/02/04 00:00:00.000;2022/02/03 00:00:00.000; 182400.0;http://web.transparencia.pe.gov.br/contratos/1027/LICON_Contrato_1027_2021_001_961598.pdf ;
2022;COMPANHIA PERNAMBUCANA DE SANEAMENTO;225167/2022;3.136 CONTRATO DE GESTÃO EM SERVIÇOS CIENTÍFICOS E TECNOLÓGICOS;;EM EXECUçãO;;31149766000166 - CONCREMAT/ENGECONSULT/TECHNE;2022/04/25 00:00:00.000;2022/07/25 00:00:00.000; 1385348.94;http://web.transparencia.pe.gov.br/contratos/802/LICON_Contrato_802_2022_225167_1098241.pdf;
2022;SECRETARIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO;010/2022;3.136 CONTRATO DE GESTÃO EM SERVIÇOS CIENTÍFICOS E TECNOLÓGICOS;;EM EXECUçãO;mar/22;15647579000156 - NúCLEO GESTOR DA CADEIA TEXTIL E DE CONFECçõES DE PERNAMBUCO;2022/06/02 00:00:00.000;2023/12/01 00:00:00.000; 6616806.44;http://web.transparencia.pe.gov.br/contratos/1004/LICON_Contrato_1004_2022_010_1133528.pdf;
2021;CONSóRCIO DE TRANSPORTES DA REGIãO METROPOLITANA DO RECIFE LTDA;015/2021;3.130 PARCEIRIA PÚBLICO PRIVADA;;EM EXECUçãO;jan/21;44467456000131 - CONSORCIO NOVA MOBI PERNAMBUCO;2021/01/08 00:00:00.000;2022/01/07 00:00:00.000; 53520000.0;http://web.transparencia.pe.gov.br/contratos/1052/LICON_Contrato_1052_2021_015_1039650.pdf;
2022;COMPANHIA PERNAMBUCANA DE SANEAMENTO;221200/2022;3.130 PARCEIRIA PÚBLICO PRIVADA;;EM EXECUçãO;;20754079000153 - INSTITUTO SISAR;2022/05/11 00:00:00.000;2022/08/19 00:00:00.000; 25000.0;http://web.transparencia.pe.gov.br/contratos/802/LICON_Contrato_802_2022_221200_1118004.pdf;
2022;COMPANHIA PERNAMBUCANA DE SANEAMENTO;221244/2022;3.130 PARCEIRIA PÚBLICO PRIVADA;;EM EXECUçãO;;40202320000149 - DIEGO LUCIO CORREIA GUIMARAES 09820796482;2022/06/01 00:00:00.000;2022/09/01 00:00:00.000; 9500.0;http://web.transparencia.pe.gov.br/contratos/802/LICON_Contrato_802_2022_221244_1123888.pdf;
2022;COMPANHIA PERNAMBUCANA DE SANEAMENTO;226412/2022;3.107 USINA HIDRELÉTRICA;;EM EXECUçãO;219/2022;3030424000197 - NORTEC - CONSTRUCOES LTDA;2022/10/06 00:00:00.000;2023/01/06 00:00:00.000; 98995.97;http://web.transparencia.pe.gov.br/contratos/802/LICON_Contrato_802_2022_226412_1165200.pdf;
2019;COMPANHIA PERNAMBUCANA DE SANEAMENTO;192114/2019;3.105 USINA DE ENERGIA SOLAR;;EM EXECUçãO;7700/2018;21728478000102 - JPK ENERGY ENGENHARIA SUSTENTAVEL CONSTRUCOES E SERVICOS LTDA - EPP;2019/07/01 00:00:00.000;2021/01/01 00:00:00.000; 1049000.0;http://web.transparencia.pe.gov.br/contratos/802/LICON_Contrato_802_2019_192114_850318.pdf;
2020;COMPANHIA PERNAMBUCANA DE SANEAMENTO;202062/2020;3.105 USINA DE ENERGIA SOLAR;;EM EXECUçãO;8208/2019;18507940000137 - S & G ENGENHARIA E SERVICOS LTDA ME;2020/08/05 00:00:00.000;2021/02/04 00:00:00.000; 294066.49;http://web.transparencia.pe.gov.br/contratos/802/LICON_Contrato_802_2020_202062_946573.pdf ;
2019;AGêNCIA ESTADUAL DE MEIO AMBIENTE;002/2019;2.099 SERVIÇO;;EM EXECUçãO;;11788943000147 - UNIKA TERCEIRIZAÇÃO E SERVIÇOS EIRELI-EPP;2019/02/01 00:00:00.000;2020/01/31 00:00:00.000; 24997.2;http://web.transparencia.pe.gov.br/contratos/849/LICON_Termo_Aditivo_849_2019_002_1047337.pdf ;
2019;AGêNCIA ESTADUAL DE MEIO AMBIENTE;006/2019;2.099 SERVIÇO;;EM EXECUçãO;nov/18;4225216000106 - DINAMERICA SERVICOS GERAIS LTDA;2019/03/27 00:00:00.000;2020/03/25 00:00:00.000; 206585.0;http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2019_006_770909.pdf ;
2019;AGêNCIA ESTADUAL DE MEIO AMBIENTE;009/2019;2.099 SERVIÇO;;EM EXECUçãO;;10998292000157 - CENTRO DE INTEGRAÇÃO EMPRESA ESCOLA DE PERNAMBUCO - CIEE/PE;2019/05/14 00:00:00.000;2020/05/12 00:00:00.000; 170251.2;http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2019_009_783375.pdf ;
2019;AGêNCIA ESTADUAL DE MEIO AMBIENTE;020/2019;2.099 SERVIÇO;;EM EXECUçãO;;3325436000149 - MARANATA PRESTADORA DE SERVIÇOS E CONSTRUÇÕES;2019/06/12 00:00:00.000;2020/06/11 00:00:00.000; 381464.16;http://web.transparencia.pe.gov.br/contratos/849/LICON_Termo_Aditivo_849_2019_020_1098936.pdf ;
2019;AGêNCIA ESTADUAL DE MEIO AMBIENTE;023/2019;2.099 SERVIÇO;;EM EXECUçãO;fev/19;10745021000190 - SOLTECH COMÉRCIO E SERVICOS ELETRÔNICOS E ELÉTRICOS EIRELI;2019/08/13 00:00:00.000;2020/08/11 00:00:00.000; 2035.0;http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2019_023_807214.pdf;
2019;AGêNCIA ESTADUAL DE MEIO AMBIENTE;027/2019;2.099 SERVIÇO;;EM EXECUçãO;set/19;8147610000124 - PRISMA PERFURAÇÃO DE POÇOS LTDA;2019/09/02 00:00:00.000;2019/10/01 00:00:00.000; 5950.0;http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2019_027_814217.pdf;
2019;AGêNCIA ESTADUAL DE MEIO AMBIENTE;036/2019;2.099 SERVIÇO;;EM EXECUçãO;nov/19;19168683000119 - SERGIO ALVES DA SILVA 24667862491;2019/10/30 00:00:00.000;2020/10/28 00:00:00.000; 2542.5;http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2019_036_831493.pdf;
2019;AGêNCIA ESTADUAL DE MEIO AMBIENTE;039/2019;2.099 SERVIÇO;;EM EXECUçãO;14/2019;12972513000143 - GIUSSEPPE POLIMENI DE ARAUJO PINHEIRO PRODUCOES GRAFICAS;2019/11/04 00:00:00.000;2020/11/02 00:00:00.000; 3064.29;http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2019_039_870051.pdf;
2019;AGêNCIA ESTADUAL DE MEIO AMBIENTE;041/2019;2.099 SERVIÇO;;EM EXECUçãO;ago/19;9454434000136 - MULTI PRIME TRANSPORTES E SERVIÇOS LTDA;2019/11/25 00:00:00.000;2020/02/22 00:00:00.000; 63180.0;http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2019_041_838346.pdf ;
2019;AGêNCIA ESTADUAL DE MEIO AMBIENTE;044/2019;2.099 SERVIÇO;;EM EXECUçãO;19/2019;11722556000108 - PAULO ANDRÉ VIANA DA SILVA;2019/11/29 00:00:00.000;2020/11/27 00:00:00.000; 17200.05;http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2019_044_847579.pdf;
2019;AGêNCIA ESTADUAL DE MEIO AMBIENTE;046/2019;2.099 SERVIÇO;;EM EXECUçãO;22/2019;27907882000120 - INFINIT ENGENHARIA E PROJETOS LTDA ME;2019/12/04 00:00:00.000;2020/03/02 00:00:00.000; 5980.0;http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2019_046_847584.pdf;
2019;AGêNCIA ESTADUAL DE MEIO AMBIENTE;047/2019;2.099 SERVIÇO;;EM EXECUçãO;20/2019;6167644000155 - EMBRALOC LOCADORA E COMERCIO DE MAQUINAS E EQUIPAMENTOS LTDA;2019/12/18 00:00:00.000;2020/12/16 00:00:00.000; 56698.8;http://web.transparencia.pe.gov.br/contratos/849/LICON_Termo_Aditivo_849_2019_047_939133.pdf ;
2019;AGêNCIA ESTADUAL DE MEIO AMBIENTE;049/2019;2.099 SERVIÇO;;EM EXECUçãO;;10921252000107 - COMPANHIA EDITORA DE PERNAMBUCO - CEPE;2019/12/11 00:00:00.000;2020/12/09 00:00:00.000; 220374.0;http://web.transparencia.pe.gov.br/contratos/849/LICON_Termo_Aditivo_849_2019_049_939130.pdf ;
2019;AGêNCIA ESTADUAL DE MEIO AMBIENTE;051/2019;2.099 SERVIÇO;;EM EXECUçãO;24/2019;3053858000102 - A L MELO DA SILVA EIRELI;2019/12/26 00:00:00.000;2020/03/24 00:00:00.000; 12139.0;http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2019_051_848210.pdf;
2019;AGêNCIA ESTADUAL DE MEIO AMBIENTE;053/2019;2.099 SERVIÇO;;EM EXECUçãO;18/2019;24876779000171 - DANIELLI NEVES DE ALENCAR VIDAL PRESTACAO DE SERVICOS DE CONSULTORIA;2020/03/11 00:00:00.000;2020/09/06 00:00:00.000; 5259.75;http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2019_053_870676.pdf;
2019;AGêNCIA ESTADUAL DE MEIO AMBIENTE;054/2019;2.099 SERVIÇO;;EM EXECUçãO;18/2019;41238668000159 - INSTRUMENTAÇÃO CIENTÍFICA ASSIS TEC LTDA;2020/03/03 00:00:00.000;2020/08/29 00:00:00.000; 674.0;http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2019_054_867163.pdf;
2019;AGêNCIA ESTADUAL DE MEIO AMBIENTE;055/2019;2.099 SERVIÇO;;EM EXECUçãO;18/2019;21961671000199 - VALIDACON SOLUCOES INTEGRADAS EM INSTRUMENTOS DE MEDIDA LTDA - EPP;2020/03/11 00:00:00.000;2020/09/06 00:00:00.000; 15498.0;http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2019_055_870690.pdf;
2019;AGêNCIA ESTADUAL DE PLANEJAMENTO E PESQUISAS DE PERNAMBUCO;003/2019;2.099 SERVIÇO;;EM EXECUçãO;;2363274000170 - RL SERVIÇOS E LOCAÇÃO DE MÃO DE OBRA LTDA ME;2019/02/11 00:00:00.000;2020/02/10 00:00:00.000; 100839.84;http://web.transparencia.pe.gov.br/contratos/852/LICON_Contrato_852_2019_003_993153.pdf ;
2019;AGêNCIA ESTADUAL DE PLANEJAMENTO E PESQUISAS DE PERNAMBUCO;005/2019;2.099 SERVIÇO;;EM EXECUçãO;;10998292000157 - CENTRO DE INTEGRAÇÃO EMPRESA ESCOLA DE PERNAMBUCO - CIEE;2019/04/01 00:00:00.000;2020/03/31 00:00:00.000; 15537.6;http://web.transparencia.pe.gov.br/contratos/852/LICON_Termo_Aditivo_852_2019_005_999182.pdf ;
2019;AGêNCIA ESTADUAL DE PLANEJAMENTO E PESQUISAS DE PERNAMBUCO;006/2019;2.099 SERVIÇO;;EM EXECUçãO;dez/19;7004414000138 - ECONSULT - CONSULTORIA E PESQUISA ECONÔMICA LTDA;2019/07/12 00:00:00.000;2020/07/12 00:00:00.000; 265900.0;http://web.transparencia.pe.gov.br/contratos/852/LICON_Termo_Aditivo_852_2019_006_993938.pdf ;
2019;AGêNCIA PERNAMBUCANA DE ÁGUAS E CLIMA;001APAC/2019;2.099 SERVIÇO;;EM EXECUçãO;;33000118000179 - TELEMAR NORTE LESTE S/A. - EM RECUPERAÇÃO JUDICIAL;2019/11/01 00:00:00.000;2020/02/21 00:00:00.000; 29509.97;http://web.transparencia.pe.gov.br/contratos/1227/LICON_Contrato_1227_2019_001APAC_838644.pdf;
2019;AGêNCIA PERNAMBUCANA DE ÁGUAS E CLIMA;002/2019;2.099 SERVIÇO;;EM EXECUçãO;;10998292000157 - CENTRO DE INTEGRAÇÃO EMPRESA ESCOLA DE PERNAMBUCO;2019/03/01 00:00:00.000;2020/02/29 00:00:00.000; 148185.6;http://web.transparencia.pe.gov.br/contratos/1227/LICON_Contrato_1227_2019_002_756254.pdf ;
2019;AGêNCIA PERNAMBUCANA DE ÁGUAS E CLIMA;002APAC/2019;2.099 SERVIÇO;;EM EXECUçãO;;33000118000179 - TELEMAR NORTE LESTE S/A. - EM RECUPERAÇÃO JUDICIAL;2019/12/16 00:00:00.000;2021/11/30 00:00:00.000; 3770.62;http://web.transparencia.pe.gov.br/contratos/1227/LICON_Termo_Aditivo_1227_2019_002APAC_988955.pdf ;
2019;AGêNCIA PERNAMBUCANA DE ÁGUAS E CLIMA;003APAC/2019;2.099 SERVIÇO;;EM EXECUçãO;;40432544000147 - CLARO S.A;2019/12/21 00:00:00.000;2021/11/30 00:00:00.000; 83971.49;http://web.transparencia.pe.gov.br/contratos/1227/LICON_Contrato_1227_2019_003APAC_846419.pdf ;
2019;AGêNCIA PERNAMBUCANA DE ÁGUAS E CLIMA;005/2019;2.099 SERVIÇO;;EM EXECUçãO;fev/19;4433214000102 - EVENTUAL LIVE MARKETING DIRETO EIRELI;2019/06/27 00:00:00.000;2020/06/26 00:00:00.000; 50596.0;http://web.transparencia.pe.gov.br/contratos/1227/LICON_Contrato_1227_2019_005_809253.pdf;
2019;AGêNCIA PERNAMBUCANA DE ÁGUAS E CLIMA;006/2019;2.099 SERVIÇO;;EM EXECUçãO;fev/19;15457406000175 - EMPÓRIO COMERCIO E SERVIÇOS EIRELI EPP;2019/06/27 00:00:00.000;2020/06/26 00:00:00.000; 25620.0;http://web.transparencia.pe.gov.br/contratos/1227/LICON_Contrato_1227_2019_006_798589.pdf;
2019;AGêNCIA PERNAMBUCANA DE ÁGUAS E CLIMA;007/2019;2.099 SERVIÇO;;EM EXECUçãO;;5678722000113 - PREMIUS SERVIÇOS EIRELI - EPP;2019/09/01 00:00:00.000;2020/08/31 00:00:00.000; 376566.12;http://web.transparencia.pe.gov.br/contratos/1227/LICON_Contrato_1227_2019_007_809262.pdf ;
2019;AGêNCIA PERNAMBUCANA DE ÁGUAS E CLIMA;008/2019;2.099 SERVIÇO;;FIM DE VIGêNCIA;;9480880000115 - BRASLUSO TURISMO LTDA;2019/10/01 00:00:00.000;2020/09/30 00:00:00.000; 50000.0;http://web.transparencia.pe.gov.br/contratos/1227/LICON_Termo_Aditivo_1227_2019_008_832790.pdf ;
2019;AGêNCIA PERNAMBUCANA DE ÁGUAS E CLIMA;010/2019;2.099 SERVIÇO;;EM EXECUçãO;;9480880000115 - BRASLUSO TURISMO LTDA;2020/01/01 00:00:00.000;2020/12/31 00:00:00.000; 150000.0;http://web.transparencia.pe.gov.br/contratos/1227/LICON_Contrato_1227_2019_010_842201.pdf;
2019;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;056/2019;2.099 SERVIÇO;;EM EXECUçãO;45/2019;4339711000146 - INSTITUTO PARA O DESENVOLVIMENTO DA CULTURA E DA ARTE;2019/09/10 00:00:00.000;2020/01/10 00:00:00.000; 15000.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2019_056_815786.pdf;
2019;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;057/2019;2.099 SERVIÇO;;EM EXECUçãO;46/2019;24880927000121 - PROJETAR SERVICOS E ORGANIZACAO DE EVENTOS LTDA;2019/09/12 00:00:00.000;2019/12/12 00:00:00.000; 80000.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2019_057_815872.pdf;
2019;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;058/2019;2.099 SERVIÇO;;EM EXECUçãO;43/2019;12590543000195 - FEDERAçãO DE AGRICULTURA DO ESTADO DE PERNAMBUCO;2019/09/13 00:00:00.000;2020/01/13 00:00:00.000; 60000.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2019_058_816193.pdf;
2019;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;059/2019;2.099 SERVIÇO;;EM EXECUçãO;51/2019;24302804000103 - ASSOCIAçãO COMERCIAL INDUSTRIAL E AGRíCOLA DE SãO JOSé DO EGITO - ACIAGRO;2019/09/18 00:00:00.000;2020/01/18 00:00:00.000; 20000.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2019_059_820408.pdf;
2019;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;060/2019;2.099 SERVIÇO;;EM EXECUçãO;52/2019;501070000123 - CENTRO DE EXCELÊNCIA EM TECNOLOGIA DE SOFT DO RECIFE;2019/09/18 00:00:00.000;2020/01/18 00:00:00.000; 10000.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2019_060_819433.pdf;
2019;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;061/2019;2.099 SERVIÇO;;EM EXECUçãO;55/2019;8735250000181 - ASSOCIAÇÃO PERNAMBUCANA DE ATACADISTA E DISTRIBUIDORES - ASPA;2019/09/23 00:00:00.000;2020/01/23 00:00:00.000; 40000.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2019_061_818163.pdf;
2019;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;062/2019;2.099 SERVIÇO;;EM EXECUçãO;54/2019;10346096000106 - PREFEITURA MUNICIPAL DE AFOGADOS DA INGAZEIRA;2019/09/23 00:00:00.000;2020/01/23 00:00:00.000; 30000.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2019_062_818181.pdf;
2019;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;063/2019;2.099 SERVIÇO;;EM EXECUçãO;57/2019;62044151000107 - AMERICAN CHAMBER OF COMMERCE FOR BRASIL;2019/09/28 00:00:00.000;2020/01/28 00:00:00.000; 25000.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2019_063_820113.pdf;
2019;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;064/2019;2.099 SERVIÇO;;EM EXECUçãO;59/2019;10010312000130 - ASSOCIAçãO COMERCIAL E EMPRESARIAL DE CARUARU -  ACIC;2019/09/30 00:00:00.000;2020/01/30 00:00:00.000; 15000.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2019_064_820133.pdf;
