Data Criacao;Num Contrato;Orgao;Resumo Objeto;Num Processo Tce;Num Processo Adm;Tipo Instrumento;Tipo Procedimento;Num Procedimento;Valor Contratado;Status;Contratada;Dt Vig Atual Inicio;Dt Vig Atual Fim;Data Assinatura;Tipo Contrato
25/02/2022;01546/2022;SECRETARIA DA SAÚDE;FORNECIMENTO DE 01 (UMA) SERINGA PREENCHIDA DO MEDICAMENTO DENOSUMABE 60MG/ML, SOLUÇÃO INJETÁVEL...;CW-002817/22;00012.007717/2021;NOTA DE EMPENHO;DISPENSA;nov/22;R$ 636,03;Em vigência;10586940000168 - Oncovit Distribuidora Ltda;23/02/2022;31/12/2022;23/02/2022;Compra - Material de Consumo
25/02/2022;009/2022;SECRETARIA DE TURISMO;PAVIMENTAÇÃO EM PARALELEPÍPEDO DE VIAS PÚBLICAS DO MUNICIPIO DE TERESINA - PI....;CW-002814/22;AA.153.1.0000759/21-28;TERMO DE CONTRATO;CONCORRÊNCIA Nº 33/2021;-;R$ 495.031,50;Aguarda informações;10525283000149 - CONSTRUIR CONSTRUÇÕES EIRELI;17/02/2022;31/12/2022;16/02/2022;Obra e serviço de engenharia
25/02/2022;012/2022;SECRETARIA DE TURISMO;PAVIMENTAÇÃO EM PARALELEPÍPEDO DE VIAS PÚBLICAS DO MUNICIPIO DE SÃO JOSÉ - PI....;CW-002812/22;AA.153.1.0000622/21-76;TERMO DE CONTRATO;CONCORRÊNCIA Nº 22/2021;-;R$ 1.140.498,68;Aguarda informações;22851187000170 - PRO ENGENHARIA EIRELI;21/02/2022;31/12/2022;18/02/2022;Obra e serviço de engenharia
25/02/2022;011/2022;SECRETARIA DE TURISMO;PAVIMENTAÇÃO EM PARALELEPIPEDO EM DIVERSAS RUAS NO MUNICIPIO DE SÃO GONÇALO - PI...;CW-002810/22;AA.153.1.0000394/20-99;TERMO DE CONTRATO;CONCORRÊNCIA Nº 15/2021;-;R$ 910.178,44;Aguarda informações;22851187000170 - PRO ENGENHARIA EIRELI;21/02/2022;31/12/2022;18/02/2022;Obra e serviço de engenharia
25/02/2022;mar/22;FUNDAÇÃO ESTATAL PIAUIENSE DE SERVIÇOS HOSPITALARES;AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR – MICROPIPETAS AUTOMÁTICAS E LEITOR DE CÓDIGO DE BARRAS, PAR...;CW-002808/22;0.000.861/2020;TERMO DE CONTRATO;DISPENSA;mar/22;R$ 1.614,51;Em vigência;36590911000163 - ELEUTERIO RIBEIRO DA SILVA JÚNIOR – IMEDIATA DISTRIBUIDORA DE PRODUTOS PARA SAÚDE;24/02/2022;25/05/2022;22/02/2022;Compra - Material de Consumo
25/02/2022;fev/22;GABINETE MILITAR;PRESTAÇÃO DE SERVIÇOS DE HOSPEDAGEM....;CW-002804/22;00015.000811/2021-84;TERMO DE CONTRATO;DISPENSA;fev/22;R$ 127.569,10;Em vigência;11634235000151 - A MIRACEU TURISMO LTDA - EPP;11/02/2022;09/08/2022;11/02/2022;Outros
25/02/2022;033/2022;FUNDAÇÃO ESTATAL PIAUIENSE DE SERVIÇOS HOSPITALARES;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE MATERIAL MÉDICO HOSPITALAR (FIOS CIRÚRGICOS)...;CW-002802/22;0.000.861/2020;TERMO DE CONTRATO;PREGÃO Nº 099/2021;-;R$ 381.484,80;Em vigência;06872949000168 - DISTRIBUIDORA DE DROGAS LTDA;17/02/2022;17/02/2023;17/02/2022;Compra - Material de Consumo
25/02/2022;jan/22;GABINETE MILITAR;PRESTAÇÃO DE SERVIÇOS DE HOSPEDAGEM....;CW-002797/22;00015.000811/2021-84;TERMO DE CONTRATO;DISPENSA;jan/22;R$ 127.569,10;Em vigência;00702030000140 - PRIMEIRA CLASSE VIAGEM E TURISMO LTDA;11/02/2022;11/08/2022;11/02/2022;Outros
24/02/2022;013/2022;SECRETARIA DE TURISMO;PAVIMENTAÇÃO EM PARALELEPÍPEDO NO MUNICIPIO DE BURITI DOS LOPES -PI....;CW-002777/22;AA.153.1.0000329/21-69;TERMO DE CONTRATO;CONCORRÊNCIA Nº 38/2021;-;R$ 1.202.390,42;Aguarda informações;19074597000147 - TOTAL CONSTRUÇÕES;21/02/2022;31/12/2022;18/02/2022;Obra e serviço de engenharia
24/02/2022;jul/22;SECRETARIA DE ESTADO DA ADMINISTRACAO E PREVIDENCIA;CONTRATAÇÃO (ÕES) DE PESSOAS JURÍDICAS(S) ESPECIALIZADA(S) NA PRESTAÇÃO DE SERVIÇOS CONTINUADOS COM ...;CW-002769/22;00002.014500/2021-41;TERMO DE CONTRATO;PREGÃO Nº 08/2020;-;R$ 346.475,22;Em vigência;10013974000163 - SERVSERVFAZ SERVIÇOS DE MÃO DE OBRA LTDA;15/02/2022;15/02/2023;15/02/2022;Outros serviços
24/02/2022;mar/22;SECRETARIA DE ESTADO DA ADMINISTRACAO E PREVIDENCIA;AQUISIÇÃO DE INSUMOS E MATERIAIS NECESSÁRIOS PARA SUBSIDIAR A REALIZAÇÃO DO PROGRAMA BUSCA ATIVA SER...;CW-002754/22;00002.007363/2021-99;TERMO DE CONTRATO;DISPENSA;jan/21;R$ 60.716,25;Em vigência;09441460000120 - PADRAO DISTRIBUIDORA DE PRODUTOS E EQUIPAMENTOS HOSPITALARES PADRE CALLOU LTDA;17/02/2022;17/08/2022;17/02/2022;Compra - Material de Consumo
24/02/2022;036/2021;SECRETARIA DE CULTURA DO ESTADO DO PIAUI;DISPONIBILIDADE DE RECURSO FINANCEIRO A TÍTULO DE EMEMDA DA DEP. LIZIÊ COELHO PARA A CONTRATAÇÃO REF...;CW-002740/22;00022.001050/2021;TERMO DE CONTRATO;INEXIGIBILIDADE;036/2021;R$ 100.000,00;Encerrado;07148770000125 - ASSOCIAÇÃO DOS AMIGOS DA ARTE E DA CULTURA DO PIAUÍ;03/11/2021;03/03/2022;03/11/2021;Outros serviços
23/02/2022;027/2021;SECRETARIA DE CULTURA DO ESTADO DO PIAUI;DISPONIBILIDADE DE RECURSO FINANCEIRO A TÍTULO DE AUTORIZO DO GOVERNADOR PARA A CONTRATAÇÃO DO PATRO...;CW-002739/22;00022.000861/2021;TERMO DE CONTRATO;INEXIGIBILIDADE;027/2021;R$ 147.450,00;Encerrado;03984281000152 - RIO DE CINEMA PRODUÇÕES CULTURAIS;30/09/2021;30/01/2022;30/09/2021;Outros serviços
23/02/2022;032/2022;FUNDAÇÃO ESTATAL PIAUIENSE DE SERVIÇOS HOSPITALARES;CREDENCIAMENTO DE PESSOAS JURÍDICAS ESPECIALIZADAS NA REALIZAÇÃO DE EXAMES DE ANATOMIA PATOLÓGICA, P...;CW-002724/22;Nº 00050.000153/2021-02;TERMO DE CONTRATO;CREDENCIAMENTO Nº 004/2021;-;R$ 98.932,80;Encerrado;22879543000163 - DIAGNOSE;18/02/2022;18/02/2022;18/02/2022;Outros serviços
23/02/2022;003/2022;CMTP - COMPANHIA METROPOLITANA DE TRANSPORTE PUBLICO;CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO DE EXTINTORES NOVOS E RECARGA DOS EXTINTORES EXISTENTES PAR...;CW-002703/22;031/2022;TERMO DE CONTRATO;DISPENSA;001/2022;R$ 1.970,00;Em vigência;43647198000102 - SEGUREX EXTINTORES LTDA;18/02/2022;18/05/2022;18/02/2022;Compra - Material de Consumo
23/02/2022;014/2022;DER-PI - DEPARTAMENTO DE ESTRADAS DE RODAGEM DO PI;EXECUÇÃO DOS SERVIÇOS DE MELHORAMENTO DA IMPLANTAÇÃO EM REVESTIMENTO PRIMÁRIO, RODOVIA: DE LIGAÇÃO (...;CW-002701/22;00016.000112/2021-24;TERMO DE CONTRATO;TOMADA DE PREÇO Nº TP 006/18;-;R$ 1.094.862,47;Em vigência;03337426000123 - PAULO LOPES SERVIÇOS DA CONSTRUÇÃO EIRELI;22/02/2022;22/02/2025;22/02/2022;Obra e serviço de engenharia
23/02/2022;00547/2022;SEFAZ - SECRETARIA DA FAZENDA DO ESTADO;COMPRA DE 3 VAGAS NO CURSO MBA EXECUTIVO EM GESTÃO COM ÊNFASE EM GERENCIAMENTO DE PROJETOS OFERECIDO...;CW-002694/22;00009.023222/2021-53;NOTA DE EMPENHO;DISPENSA;mar/22;R$ 54.450,00;Em vigência;33641663000144 - FUNDAÇÃO GETÚLIO VARGAS;15/02/2022;30/07/2023;15/02/2022;Outros serviços
23/02/2022;01192/2022;SECRETARIA DA SAÚDE;AQUISIÇÃO DE 14.400G DE ALIMENTO PARA LACTANTES COM ALERGIA AO LEITE DE VACA (ALV), À BASE DE 100% P...;CW-002692/22;00012.008737/2021;NOTA DE EMPENHO;DISPENSA;160/2021;R$ 4.608,00;Em vigência;05577401000122 - R. O. CARVALHO DO NASCIMENTO - OTIMA DISTRIBUIDORA;22/02/2022;31/12/2022;22/02/2022;Compra - Material de Consumo
23/02/2022;01211/2022;SECRETARIA DA SAÚDE;AQUISIÇÃO DE 03 (TRÊS) SERINGAS PREENCHIDAS DE USTEQUINUMABE 90 MG/1,0 ML, SOLUÇÃO INJETÁVEL...;CW-002686/22;00003.002904/2020;NOTA DE EMPENHO;DISPENSA;163/2021;R$ 65.298,63;Em vigência;51780468000268 - JANSSEN-CILAG FARMACÊUTICA LTDA;22/02/2022;31/12/2022;22/02/2022;Compra - Material de Consumo
23/02/2022;01190/2022;SECRETARIA DA SAÚDE;FORNECIMENTO DE 01 (UM) FRASCO-AMPOLA DO MEDICAMENTO ÁCIDO ZOLEDRÔNICO 5MG/100ML, SOLUÇÃO PARA INFUS...;CW-002682/22;00012.014306/2021;NOTA DE EMPENHO;DISPENSA;abr/22;R$ 1.200,00;Em vigência;05577401000122 - R. O. CARVALHO DO NASCIMENTO - OTIMA DISTRIBUIDORA;22/02/2022;31/12/2022;22/02/2022;Compra - Material de Consumo
23/02/2022;017/2022;SECRETARIA DE ESTADO DE JUSTIÇA E DOS DIREITOS HUMANOS;REGISTRO DE PREÇOS VISANDO FUTURO FORNECIMENTO DE MATERIAL DE HIGIENE E LIMPEZA, PARA O SISTEMA PENI...;CW-002670/22;00095.003176/2021-44;TERMO DE CONTRATO;PREGÃO Nº 002/2020;-;R$ 2.084.626,14;Em vigência;22265213000188 - A C C DOS SANTOS JUNIOR;21/02/2022;21/02/2023;21/02/2022;Compra - Material de Consumo
23/02/2022;002/2022;SECRETARIA DA INFRA-ESTRUTURA;CONTRATAÇÃO DE EMPRESA DE ENGENHARIA PARA A REFORMA E MELHORIAS NO ESTÁDIO DE FUTEBOL DEUSDETH DE ME...;CW-002669/22;00114.000467/2021;TERMO DE CONTRATO;CONVITE Nº CPL 09/2021;-;R$ 146.940,13;Em vigência;10503139000101 - PRODOMO CONSTRUÇÕES E SERVIÇOS LTDA;08/02/2020;31/12/2022;08/02/2022;Obra e serviço de engenharia
23/02/2022;jun/22;SECRETARIA DE ESTADO DA ADMINISTRACAO E PREVIDENCIA;AQUISIÇÃO DE INSUMOS E MATERIAIS NECESSÁRIOS PARA SUBSIDIAR A REALIZAÇÃO DO PROGRAMA BUSCA ATIVA SER...;CW-002660/22;00002.007363/2021-99;TERMO DE CONTRATO;DISPENSA;jan/21;R$ 26.340,00;Em vigência;13628123000113 - JM INDUSTRIA DE CONFECCOES E BRINDES EIRELI;15/02/2022;15/08/2022;15/02/2022;Compra - Material de Consumo
22/02/2022;mai/22;SECRETARIA DE ESTADO DA ADMINISTRACAO E PREVIDENCIA;AQUISIÇÃO DE INSUMOS E MATERIAIS NECESSÁRIOS PARA SUBSIDIAR A REALIZAÇÃO DO PROGRAMA BUSCA ATIVA SER...;CW-002659/22;00002.007363/2021-99;TERMO DE CONTRATO;DISPENSA;jan/21;R$ 60.138,00;Em vigência;74013095000114 - M J DE SOUSA NETO;15/02/2022;15/08/2022;15/02/2022;Compra - Material de Consumo
22/02/2022;28.01/2022;COMPANHIA ADM.DA ZONA DE PROCESSAMENTO DE EXPORTAÇÃO;EXECUÇÃO DOS SERVIÇOS DE MANUTENÇÃO, IMPERMEABILIZAÇÃO E RECUPERAÇÃO DA ESTAÇÃO DE TRATAMENTO DE ÁGU...;CW-002617/22;016/2022;TERMO DE CONTRATO;DISPENSA;s/n;R$ 127.652,09;Encerrado;12126953000180 - CONSTRUTORA ARAUJO & SOUSA LTDA.;10/01/2022;23/02/2022;10/01/2022;Obra e serviço de engenharia
22/02/2022;27.01/2022;COMPANHIA ADM.DA ZONA DE PROCESSAMENTO DE EXPORTAÇÃO;EXECUÇÃO DOS SERVIÇOS DE REVISÃO, AMPLIAÇÃO, MANUTENÇÃO E INTERLIGAÇÃO DO SISTEMA DE ENERGIZAÇÃO DE ...;CW-002616/22;015/2022;TERMO DE CONTRATO;DISPENSA;s/n;R$ 46.943,12;Encerrado;12126953000180 - CONSTRUTORA ARAUJO & SOUSA LTDA.;07/01/2022;20/02/2022;07/01/2022;Obra e serviço de engenharia
22/02/2022;abr/22;SECRETARIA DE ESTADO DA ADMINISTRACAO E PREVIDENCIA;AQUISIÇÃO DE INSUMOS E MATERIAIS NECESSÁRIOS PARA SUBSIDIAR A REALIZAÇÃO DO PROGRAMA BUSCA ATIVA SER...;CW-002614/22;00002.007363/2021-99;TERMO DE CONTRATO;DISPENSA;jan/21;R$ 13.500,00;Em vigência;32769025000140 - SANTOS SAFETY CONSULTORIA E SOLUCOES EM SEGURANCA DO TRABALHO LTDA;15/02/2022;15/08/2022;15/02/2022;Compra - Material de Consumo
22/02/2022;006/2022;SEFAZ - SECRETARIA DA FAZENDA DO ESTADO;CONTRATAÇÃO DA OBRA DE REFORMA E MODERNIZAÇÃO DO PRÉDIO ONDE FUNCIONA O POSTO FISCAL CORINTO MATOS, ...;CW-002606/22;00009.023527/2020-84;TERMO DE CONTRATO;COMPARAÇÃO DE PREÇOS Nº 09/2021;-;R$ 644.026,47;Em vigência;29786317000187 - PATAMAR SERVIÇOS DE CONSTRUÇÕES LTDA;10/02/2022;10/02/2023;10/02/2022;Obra e serviço de engenharia
22/02/2022;30.01/2022;COMPANHIA ADM.DA ZONA DE PROCESSAMENTO DE EXPORTAÇÃO;SERVIÇOS DE RECUPERAÇÃO DO RESTANTE DA COBERTA DO GALPÃO A SER UTILIZADO PELA RECEITA FEDERAL NA ZON...;CW-002604/22;017/2022;TERMO DE CONTRATO;DISPENSA;s/n;R$ 123.323,14;Encerrado;40225306000160 - J M TORRES JUNIOR ENGENHARIA EIRELI;11/01/2022;24/02/2022;11/01/2022;Obra e serviço de engenharia
22/02/2022;fev/22;SECRETARIA DE ESTADO DA ADMINISTRACAO E PREVIDENCIA;AQUISIÇÃO DE INSUMOS E MATERIAIS NECESSÁRIOS PARA SUBSIDIAR A REALIZAÇÃO DO PROGRAMA BUSCA ATIVA SER...;CW-002595/22;00002.007363/2021-99;TERMO DE CONTRATO;DISPENSA;jan/21;R$ 27.535,25;Em vigência;09441460000120 - PADRAO DISTRIBUIDORA DE PRODUTOS E EQUIPAMENTOS HOSPITALARES PADRE CALLOU LTDA;15/02/2022;15/08/2022;15/02/2022;Compra - Material de Consumo
22/02/2022;34/2021;SECRETARIA DO DESENVOLVIMENTO ECONÔMICO;CONSTITUI OBJETO DO PRESENTE EDITAL A CONTRATAÇÃO DE EMPRESA DE ENGENHARIA PARA A EXECUÇÃO DE PAVIME...;CW-002593/22;AA.152.1.000507/21-89;TERMO DE CONTRATO;CONVITE Nº 019/2021;-;R$ 297.267,72;Em vigência;01857346000173 - R. MELO CONSTRUÇÕES LTDA;22/11/2021;17/11/2022;22/11/2021;Obra e serviço de engenharia
22/02/2022;jan/21;INSTITUTO DE AGUAS E ESGOTOS DO PIAUI;CONTRATAÇÃO DE SERVIÇOS DE LOCAÇÃO DE VEÍCULOS....;CW-002588/22;00002.002759/2021-40;TERMO DE CONTRATO;DISPENSA;jan/21;R$ 74.412,00;Encerrado;13912374000125 - R.F.C CARVALHO-EIRELI;13/08/2021;12/02/2022;13/08/2021;Outros serviços
22/02/2022;038/2022;SECRETARIA DA AGRICULTURA FAMILIAR;CONTRATAÇÃO DE EMPRESA DE ENGENHARIA PARA EXECUÇÃO DE 4.711,00 M² DE PAVIMENTAÇÃO NA COMUNIDADE SÃO ...;CW-002585/22;102/2020;TERMO DE CONTRATO;TOMADA DE PREÇO Nº 05/2020;-;R$ 333.656,24;Em vigência;19671243000180 - CONSTRUTORA CASA FORTE LTDA EPP;17/02/2022;17/02/2023;17/02/2022;Obra e serviço de engenharia
22/02/2022;012/2022;DER-PI - DEPARTAMENTO DE ESTRADAS DE RODAGEM DO PI;EXECUÇÃO DAS OBRAS DE PAVIMENTAÇÃO ASFÁLTICA DE VIAS PÚBLICAS NA ZONA URBANA DO MUNICÍPIO DE BOM JES...;CW-002574/22;00016.000575/2021-96;TERMO DE CONTRATO;CONCORRÊNCIA Nº 024/2021;-;R$ 3.225.598,04;Em vigência;03337426000123 - PAULO LOPES SERVIÇOS DA CONSTRUÇÃO EIRELI;21/02/2022;21/02/2025;21/02/2022;Obra e serviço de engenharia
22/02/2022;010/2022;FUESPI - FUNDAÇÃO UNIVERSIDADE ESTADUAL DO PIAUÍ;PRESTAÇÃO DE SERVIÇOS DE VIGILÂNCIA ARMADA...;CW-002564/22;00089.020221/2021-12;TERMO DE CONTRATO;DISPENSA;201/2021;R$ 2.279.520,00;Em vigência;19923146000137 - BRASAO VIGILANCIA E SEGURANCA LTDA;18/02/2022;16/08/2022;18/02/2022;Outros serviços
21/02/2022;29/2022;FUNDAÇÃO ESTATAL PIAUIENSE DE SERVIÇOS HOSPITALARES;[RELANÇAMENTO] CONSTITUI OBJETO DESTE EDITAL, A REALIZAÇÃO DE PROCESSO LICITATÓRIO PARA AQUISIÇÃO DE...;CW-002555/22;618/2021;TERMO DE CONTRATO;PREGÃO Nº 071/2021;-;R$ 6.840,00;Em vigência;36590911000163 - ELEUTERIO RIBEIRO DA SILVA JÚNIOR – IMEDIATA DISTRIBUIDORA DE PRODUTOS PARA SAÚDE;16/02/2022;16/02/2023;16/02/2022;Compra - Material de Consumo
21/02/2022;30/2022;FUNDAÇÃO ESTATAL PIAUIENSE DE SERVIÇOS HOSPITALARES;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇO DE NEUROCIRURGIA PARA O HOSPITAL REGIONAL JUSTINO L...;CW-002551/22;6282/2021;TERMO DE CONTRATO;INEXIGIBILIDADE;jul/22;R$ 1.096.012,20;Em vigência;24886534000125 - BARBOSA, OLIVEIRA & SANTOS SERVIÇOS MÉDICOS LTDA;16/02/2022;15/08/2022;16/02/2022;Outros serviços
21/02/2022;jun/22;SECRETARIA DA SAÚDE;AQUISIÇÃO DE MEDICAMENTOS PERTENCENTES AO COMPONENTE ESPECIALIZADO DA ASSISTÊNCIA FARMACÊUTICA – CEA...;CW-002550/22;00012.000531/2021-04;TERMO DE CONTRATO;PREGÃO Nº 1/2021;-;R$ 9.652,00;Em vigência;27457814000106 - A L S BRAZ EIRELI-ME;27/01/2022;27/01/2023;27/01/2022;Compra - Material de Consumo
21/02/2022;00945/2022;SECRETARIA DA SAÚDE;FORNECIMENTO DE 03 (TRÊS) FRASCO-AMPOLA DO MEDICAMENTO CANAQUINUMABE 150MG/ML, SOLUÇÃO INJETÁVEL 1ML...;CW-002548/22;00012.017995/2022;NOTA DE EMPENHO;DISPENSA;mar/22;R$ 125.876,28;Em vigência;56994502002698 - NOVARTIS BIOCIÊNCIAS S.A;18/02/2022;31/12/2022;18/02/2022;Compra - Material de Consumo
21/02/2022;1084044/2022;FUNDACAO PIAUI PREVIDENCIA;"O PRESENTE CONTRATO TEM POR OBJETO REGULAR A COMPRA E VENDA DE ENERGIA ELÉTRICA NO AMBIENTE
DE CONTR...";CW-002547/22;00227.001939/2021-70;TERMO DE CONTRATO;DISPENSA;mar/21;R$ 11.282,75;Em vigência;06840748000189 - EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A;14/01/2022;14/01/2023;14/01/2022;Outros
21/02/2022;00940/2022;SECRETARIA DA SAÚDE;FORNECIMENTO DE 720 (SETECENTOS E VINTE) COMPRIMIDOS REVESTIDOS DE LIBERAÇÃO PROLONGADA DO MEDICAMEN...;CW-002546/22;00012.013014/2022;NOTA DE EMPENHO;DISPENSA;set/22;R$ 11.087,44;Em vigência;60318797000100 - ASTRAZENECA DO BRASIL LTDA;18/02/2022;31/12/2022;18/02/2022;Compra - Material de Consumo
21/02/2022;26/2022;FUNDAÇÃO ESTATAL PIAUIENSE DE SERVIÇOS HOSPITALARES;CONSTITUI OBJETO DESTE EDITAL, A REALIZAÇÃO DE PROCESSO LICITATÓRIO PARA AQUISIÇÃO DE DERMÁTOMO, EXP...;CW-002539/22;590/2021;TERMO DE CONTRATO;PREGÃO Nº 078/2021;-;R$ 98.990,00;Em vigência;04956527000145 - ORIOM COMERCIO DE ARTIGOS MEDICOS LTDA - ME;15/02/2022;15/02/2023;15/02/2022;Compra - Material de Consumo
21/02/2022;25/2022;FUNDAÇÃO ESTATAL PIAUIENSE DE SERVIÇOS HOSPITALARES;CONSTITUI OBJETO DESTE EDITAL, A REALIZAÇÃO DE PROCESSO LICITATÓRIO PARA AQUISIÇÃO DE DERMÁTOMO, EXP...;CW-002534/22;590/2021;TERMO DE CONTRATO;PREGÃO Nº 078/2021;-;R$ 98.990,00;Em vigência;37532911000170 - FPM HOSPITALAR LTDA;15/02/2022;15/02/2023;15/02/2022;Compra - Material de Consumo
21/02/2022;07/2022-SUPLI/GEGCO/AGESPISA;AGESPISA - AGUA E ESGOTOS DO PIAUI S.A;AQUISIÇÃO DE 02 (DOIS) QUADROS DE COMANDO, PARA SEREM UTILIZADOS NA ADUTORA DO LITORAL, NA CIDADE DE...;CW-002519/22;17/2021;TERMO DE CONTRATO;PREGÃO Nº SRP 001/2021;-;R$ 186.913,99;Em vigência;02654191000130 - TECAUT AUTOMAÇÃO INDUSTRIAL EIRELI;10/02/2022;09/02/2023;10/02/2022;Compra - Material Permanente
