"Numero do Processo de Compra";"Procedimento de Contratacao";Objeto;"Situacao do Processo";"Ogao Demandante";"Valor de Referencia";"Valor Homologado";Economias
"1254266 000026/2019";"RECADASTRAMENTO DE PROCESSOS";"Cursos para pilotos e mecânicos do COMAVE, sendo PPA Prático, PPH Prático, IFRH Teórico, IFRH Prático, Célula B2, Célula N2, Adaptação HMLT.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";5.400,00;5.400,00;0,00
"1510022 000011/2019";"DISPENSA DE LICITACAO - POR VALOR";"Aquisição de Jalecos - ESPECIFICAÇÕES E QUANTITATIVO CONSTANTES NO TERMOS DE REFERÊNCIA";Concluído;"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";12.399,97;12.000,00;399,97
"1451044 000122/2019";"DISPENSA DE LICITACAO - POR VALOR";"Contratação de empresa especializada para recolhimento, tratamento e descarte em local adequado de colchões  inservíveis localizados no CERESP Gameleira.";Concluído;"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLIC";0,00;0,00;0,00
"1011014 000062/2019";PREGAO;"impermeabilização em laje com manta asfáltica.";Concluído;"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";31.130,00;29.540,00;1.590,00
"2151004 000014/2019";"DISPENSA DE LICITACAO - POR VALOR";"Fornecimento de materiais de construção para atender demanda desta Fundação e suas unidades vinculadas.";Concluído;"FUNDACAO HELENA ANTIPOFF";17.573,94;15.728,98;1.844,96
"1021007 000153/2019";"DISPENSA DE LICITACAO - POR VALOR";"APARELHO TELEFONICO SIMPLES - TIPO: SEM FIO; MODELO: DE MESA; AJUSTE: VOLUME; DISCAGEM: REDISCAGEM,MEMORIA
OBS:FAVOR COLOCAR TODAS AS ESPECIFICAÇÕES, MARCA E  CÓDIGO DO TELEFONE COTADO.   
";Concluído;"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";120,00;98,00;22,00
"1021007 000155/2019";"DISPENSA DE LICITACAO - POR VALOR";"Pneu da marca Michelin Aro 17 Primacy 4 225/45R17 94W XL - Original Citröen C4 Lounge";Concluído;"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";864,78;862,00;2,78
"0503007 000024/2019";"DISPENSA DE LICITACAO - POR VALOR";"AQUISIÇÃO DE CARBONO TÉRMICO E ETIQUETA PARA IMPRESSÃO DE CÓDIGO DE BARRAS PARA SUPRIR DEMANDA DO HIJPII.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";3.086,00;0,00;3.086,00
"0516013 000056/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"RP 237/2018 - MATERIAL DE LABORATÓRIO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";123,84;123,84;0,00
"2012008 000145/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"CLIPS E OUTROS.";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";28.080,00;28.080,00;0,00
"1261002 000004/2019";"DISPENSA DE LICITACAO - POR VALOR";"Material de limpeza sem Registro de Preço vigente.";Concluído;"SECRETARIA DE ESTADO DE EDUCACAO";3.112,76;2.634,90;477,86
"0503007 000025/2019";"DISPENSA DE LICITACAO - POR VALOR";"AQUISIÇÃO DE VÁLVULA REGULADORA PARA CILINDRO DE OXIGÊNIO.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";684,96;684,00;0,96
"0507011 000032/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";825,00;825,00;0,00
"0507011 000033/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";157,50;157,50;0,00
"0508022 000015/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Gêneros Alimenticios";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";1.963,64;2.322,80;-359,16
"0510037 000065/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"DETERGENTE ALCALINO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";2.500,00;2.500,00;0,00
"0520009 000150/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"ANTISSÉPTICOS, SANEANTES E PRODUTOS QUÍMICOS";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";160,00;160,00;0,00
"2371240 000002/2019";"DISPENSA DE LICITACAO - POR VALOR";"PRESTAÇÃO DE SERVIÇOS DE CONSERVAÇÃO E LIMPEZA DE PRÉDIO DA ADMINISTRAÇÃO PÚBLICA ONDE FUNCIONA A SEDE DO IMA EM MONTES CLAROS - MG";Concluído;"INSTITUTO MINEIRO DE AGROPECUARIA";2.700,00;2.699,98;0,02
"2012008 000570/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"SONDA DE USO MEDICO E OUTROS MATERIAIS";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";3.634,80;3.634,80;0,00
"1320045 000005/2019";PREGAO;"Tubo de ensaio.";Concluído;"SECRETARIA DE ESTADO DA SAUDE";21.590,00;0,00;21.590,00
"2012008 000580/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"DISPOSITIVO INTRAVENOSO";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";699,88;699,88;0,00
"0513007 000271/2019";"DISPENSA DE LICITACAO - POR VALOR";"Conjunto de Corantes Hematológicos";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";7.980,00;7.980,00;0,00
"1321022 000007/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Material de limpeza";Concluído;"SECRETARIA DE ESTADO DA SAUDE";986,40;986,40;0,00
"0501044 000173/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MEDICAMENTOS ALOPÁTICOS";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";163.604,52;163.604,52;0,00
"2311076 000126/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MÉDICO

RP 171 /2018

PLAN 125/2018";Concluído;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";5.161,60;5.161,60;0,00
"0501044 000172/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"EQUIPAMENTO MÉDICO HOSPITALAR";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";6.320,00;6.320,00;0,00
"0509025 000095/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MEDICO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";2.160,00;2.160,00;0,00
"2311021 000004/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"AQUISIÇÃO DE AÇUCAR CRISTAL, PLANEJAMENTO DE RP 313/2018 - ATA DE REGISTRO DE PREÇOS Nº 271/2018.";Concluído;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";17.980,00;17.980,00;0,00
"1031018 000163/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Prestação de serviços de desenvolvimento e sustentação de sistemas de informação, através da ARP n.º 37/2019";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";15.967.200,00;15.967.200,00;0,00
"1259760 000001/2019";PREGAO;"Ração para alimentação dos cães do 3º PEL PCAES/2ª CIA PCHOQ/9º BME.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";16.575,00;15.990,00;585,00
"0501044 000068/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"GÊNEROS ALIMENTÍCIOS E BEBIDAS";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";768,00;768,00;0,00
"1261038 000003/2019";"DISPENSA DE LICITACAO - POR VALOR";"Serviço de assinatura dos Guias Informativo MAI. Edição: 517 a 528.
";Concluído;"SECRETARIA DE ESTADO DE EDUCACAO";560,00;560,00;0,00
"0517048 000014/2019";"DISPENSA DE LICITACAO - POR VALOR";"Manutenção de Roçadeiras com fornecimento de peças";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";0,00;0,00;0,00
"1251666 000012/2019";PREGAO;"Material de informática para BPM MAmb.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";413.998,80;305.427,64;108.571,16
"0506007 000045/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Medicamento TIAMINA, 300 MG, COMPRIMIDO.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";600,00;600,00;0,00
"1451044 000091/2019";PREGAO;"Fornecimento contínuo de refeições e lanches prontos, na forma transportada, à
Unidade Prisional: Complexo Penitenciário Nossa Senhora do Carmo.";Concluído;"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLIC";4.458.280,73;3.796.975,85;661.304,88
"1031018 000347/2019";"REGISTRO DE PRECOS NAO REALIZADO NO SIRP";"SERVIÇOS DE TELEFONIA FIXA NA MODALIDADE LOCAL E LONGA DISTÂNCIA NACIONAL, ATRAVÉS DA ARP 01/2018 - LOTES 3 e 5, DO MINISTÉRIO DO PLANEJAMENTO.

";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";41.642,40;41.642,40;0,00
"2012008 000726/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";CURATIVO;Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";3.900,00;3.900,00;0,00
"1251666 000011/2019";PREGAO;"Peças originais para veículos das linhas Mitsubishi, Fiat, Ford, Toyota e Jeep";Concluído;"POLICIA MILITAR DE MINAS GERAIS";130.000,00;0,00;130.000,00
"2320310 000095/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"- Nº SEI 2320.01.0004899/2019-47 -
MATERIAL DE ESCRITÓRIO ( PASTA CATÁLOGO E CANETAS ESFEROGRÁFICAS ).";Concluído;"FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MG";2.582,50;2.582,50;0,00
"2121022 000020/2019";"REGISTRO DE PRECOS NAO REALIZADO NO SIRP";"Aquisição de suprimentos de rede informática –material permanente";Concluído;"INST.PREV.DOS SERV.MILITARES DO ESTADO M.GERAIS";240.000,00;240.000,00;0,00
"2012008 000728/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"CURATIVO ALGINATO DE CALCIO E/OU SODIO";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";388,80;388,80;0,00
