11/12/2019;Aguardando abertura;0006/2019;57/500.202/2018;53218                         ;Execução das obras de construção de bases para unidades habitacionais, com área unitária de 42,56 m², nos seguintes locais: Loteamento Cidadania 08  Residencial Harrisson de Figueiredo  Quadra 30 (21 unidades); Loteamento Cidadania 07  Jardim Ibirapuera  Quadra 07 (45 unidades) e Loteamento Cidadania 05 e 06  Residencial Esplanada  Quadra 62 e 75 (124 unidades), município de Dourados/MS, conforme especificações no Memorial Descritivo e Planilha Orçamentária.;AGEHAB;TOMADA DE PREÇOS;
11/12/2019;Aguardando abertura;0006/2019;57/500.202/2018;53891                         ;Execução das obras de construção de bases para unidades habitacionais, com área unitária de 42,56 m², nos seguintes locais: Loteamento Cidadania 08  Residencial Harrisson de Figueiredo  Quadra 30 (21 unidades); Loteamento Cidadania 07  Jardim Ibirapuera  Quadra 07 (45 unidades) e Loteamento Cidadania 05 e 06  Residencial Esplanada  Quadra 62 e 75 (124 unidades), município de Dourados/MS, conforme especificações no Memorial Descritivo e Planilha Orçamentária.;AGEHAB;TOMADA DE PREÇOS;
11/12/2019;Encerrada;0093/2019;55/000.646/2019;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS NÃO PERECÍVEIS ;SAD - 2022;PREGÃO ELETRÔNICO;
10/12/2019;Aguardando abertura;0009/2019;55/000.962/2018;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MEDICAMENTOS;SAD - 2022;PREGÃO ELETRÔNICO;
10/12/2019;Encerrada;0107/2019;55/000.605/2019;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MARAVALHA E RAÇÃO PARA CAMUNDONGO;SAD - 2022;PREGÃO ELETRÔNICO;
10/12/2019;Encerrada;0048/2019;55/000.380/2019;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MEDICAMENTOS - AÇÃO JUDICIAL;SAD - 2022;PREGÃO ELETRÔNICO;
10/12/2019;Encerrada;0042/2019;55/000.379/2019;                              ;01ª REPETIÇÃO REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MEDICAMENTOS ;SAD - 2022;PREGÃO ELETRÔNICO;
10/12/2019;Aguardando abertura;0039/2019;55/000.331/2019;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MEDICAMENTOS - AÇÃO JUDICIAL;SAD - 2022;PREGÃO ELETRÔNICO;
10/12/2019;Encerrada;0028/2019;27/002.392/2019;                              ;AQUISIÇÃO DE ESTANTES DE AÇO E CARRINHO PLATAFORMA;FESA;PREGÃO ELETRÔNICO;
09/12/2019;Aguardando abertura;0008/2019;57/500.091/2019;46290                         ;Execução das obras de construção de bases para unidades habitacionais, com área unitária de 42,56 m², no Loteamento Novo Horizonte II, município de Santa Rita do Pardo/MS, conforme especificações no Memorial Descritivo e Planilha Orçamentária. ;AGEHAB;CONVITE;
09/12/2019;Encerrada;0064/2019;55/000.757/2019;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MEDICAMENTOS - AÇÃO JUDICIAL;SAD - 2022;PREGÃO ELETRÔNICO;
09/12/2019;Aguardando abertura;0058/2019;55/000.599/2019;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MEDICAMENTOS;SAD - 2022;PREGÃO ELETRÔNICO;
09/12/2019;Encerrada;0045/2019;55/000.327/2019;                              ;01º REPETIÇÃO - REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MEDICAMENTOS;SAD - 2022;PREGÃO ELETRÔNICO;
09/12/2019;Aguardando abertura;0025/2019;55/000.312/2019;                              ; REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MEDICAMENTOS - AÇÃO JUDICIAL;SAD - 2022;PREGÃO ELETRÔNICO;
06/12/2019;Aguardando abertura;0005/2019;57/500.153/2019;46289                         ;Execução das obras de construção de bases para unidades habitacionais, com área unitária de 42,56 m², no Loteamento Pedro Constantino, município de Bandeirantes/MS, conforme especificações no Memorial Descritivo e Planilha Orçamentária.;AGEHAB;TOMADA DE PREÇOS;
06/12/2019;Aguardando abertura;0005/2019;57/500.153/2019;51451                         ;Execução das obras de construção de bases para unidades habitacionais, com área unitária de 42,56 m², no Loteamento Pedro Constantino, município de Bandeirantes/MS, conforme especificações no Memorial Descritivo e Planilha Orçamentária.;AGEHAB;TOMADA DE PREÇOS;
06/12/2019;Encerrada;0091/2019;55/000.859/2018;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE CORRELATOS HOSPITALARES COM EQUIPAMENTOS CEDIDOS EM REGIME DE COMODATO;SAD - 2022;PREGÃO ELETRÔNICO;
05/12/2019;Aguardando abertura;0004/2019;57/500.144/2018;46282                         ;Execução das obras de construção de bases para unidades habitacionais, com área unitária de 42,56 m², no Conjunto Habitacional Eduardo Perez Filho, município de Terenos/MS, conforme especificações no Memorial Descritivo e Planilha Orçamentária.;AGEHAB;TOMADA DE PREÇOS;
05/12/2019;Aguardando abertura;0004/2019;57/500.144/2018;50267                         ;Execução das obras de construção de bases para unidades habitacionais, com área unitária de 42,56 m², no Conjunto Habitacional Eduardo Perez Filho, município de Terenos/MS, conforme especificações no Memorial Descritivo e Planilha Orçamentária.;AGEHAB;TOMADA DE PREÇOS;
04/12/2019;Encerrada;0117/2019;55/000.812/2019;                              ;Registro de Preços  para Aquisição de Material de Expediente;SAD - 2022;PREGÃO ELETRÔNICO;
04/12/2019;Encerrada;0004/2019;31/701.771/2019;46458                         ;AQUISIÇÃO DE MATERIAIS PARA PREMIAÇÃO ;DETRAN;PREGÃO ELETRÔNICO;
02/12/2019;Encerrada;0009/2019;71/501.548/2019;46292                         ;AQUISIÇÃO DE REAGENTE, CLORIDRATO DE DETOMIDINA E TUBO LABORATORIAL;IAGRO - Inativo - 2022;PREGÃO ELETRÔNICO;
02/12/2019;Encerrada;0009/2019;71/501.548/2019;46293                         ;AQUISIÇÃO DE REAGENTE, CLORIDRATO DE DETOMIDINA E TUBO LABORATORIAL;IAGRO - Inativo - 2022;PREGÃO ELETRÔNICO;
02/12/2019;Encerrada;0001/2019;57/100.463/2019;45907                         ;Aquisição de veículos tipo pick-up;AGESUL - Inativa - 2022;PREGÃO ELETRÔNICO;
02/12/2019;Aguardando abertura;0001/2019;57/005.793/2019;                              ;Concessão de serviços públicos de recuperação, operação, manutenção, conservação, implantação de melhorias e ampliação de capacidade do Sistema Rodoviário.;SEINFRA - inativo - 2022;CONCORRÊNCIA;
02/12/2019;Suspenso;0097/2019;55/001.087/2019;                              ;REGISTRO DE PREÇO para AQUISIÇÃO DE BRINQUEDOS INFLAVEIS;SAD - 2022;PREGÃO ELETRÔNICO;
02/12/2019;Aguardando abertura;0001/2019;55/000.214/2019;                              ;ALIENAÇÃO POR LICITAÇÃO NA MODALIDADE LEILÃO DE VEÍCULOS E SUCATA DE VEÍCULOS COM POSSIBILIDADE DE REUTILIZAÇÃO DE SUAS PEÇAS OU CONJUNTO DE PEÇAS ORIUNDOS DOS ORGÃOS DO PODER EXECUTIVO ESTADUAL.;SAD - 2022;LEILÃO;
02/12/2019;Encerrada;0012/2019;31/500.172/2019;                              ;AQUISIÇÃO DE CAIXA DE SOM, AMPLIFICADOR, FIO E MICROFONE;SEJUSP;PREGÃO ELETRÔNICO;
02/12/2019;Encerrada;0019/2019;27/001.350/2019;                              ;AQUISIÇÃO DE MEDICAMENTOS - AÇÃO JUDICIAL ;FESA;PREGÃO ELETRÔNICO;
29/11/2019;Suspenso;0011/2019;55/000.953/2018;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MEDICAMENTOS;SAD - 2022;PREGÃO ELETRÔNICO;
29/11/2019;Encerrada;0068/2019;55/000.600/2019;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MEDICAMENTOS - AÇÃO JUDICIAL;SAD - 2022;PREGÃO ELETRÔNICO;
29/11/2019;Encerrada;0024/2019;29/040.586/2019;45920                         ;AQUISIÇÃO DE MICROCOMPUTADOR;SED;PREGÃO ELETRÔNICO;
29/11/2019;Encerrada;0018/2019;29/003.639/2019;46000                         ;AQUISIÇÃO DE MATERIAL DE LIMPEZA PARA ATENDER O CURSO DE PADEIRO;SED;PREGÃO ELETRÔNICO;
29/11/2019;Encerrada;0018/2019;29/003.639/2019;46002                         ;AQUISIÇÃO DE MATERIAL DE LIMPEZA PARA ATENDER O CURSO DE PADEIRO;SED;PREGÃO ELETRÔNICO;
29/11/2019;Encerrada;0018/2019;29/003.639/2019;46003                         ;AQUISIÇÃO DE MATERIAL DE LIMPEZA PARA ATENDER O CURSO DE PADEIRO;SED;PREGÃO ELETRÔNICO;
28/11/2019;Aguardando abertura;0003/2019;55/000.360/2019;                              ;ALIENAÇÃO POR LICITAÇÃO NA MODALIDADE LEILÃO DE VEÍCULOS, BENS MÓVEIS, EQUIPAMENTOS AGRÍCOLAS, RODOVIÁRIOS E SUCATA DE VEÍCULOS COM POSSIBILIDADE DE REUTILIZAÇÃO DE SUAS PEÇAS OU CONJUNTO DE PEÇAS, CONSIDERADOS OBSOLETOS, OCIOSOS, ANTIECONÔMICOS OU INSERVIVEIS PARA A ADMINISTRAÇÃO PÚBLICA ESTADUAL.;SAD - 2022;LEILÃO;
28/11/2019;Aguardando abertura;0001/2019;29/033.902/2019;                              ;PERMISSÃO DE USO DE ESPAÇO FÍSICO PARA EXPLORAÇÃO DE RESTAURANTE E CAFETERIA;SED;CONCORRÊNCIA;
27/11/2019;Aguardando abertura;0007/2019;57/500.095/2019;46285                         ;Execução das obras de construção de bases para unidades habitacionais, com área unitária de 42,56 m², no Loteamento José Pereira Martins, município de Corguinho/MS, conforme especificações no Memorial Descritivo e Planilha Orçamentária.;AGEHAB;CONVITE;
27/11/2019;Aguardando abertura;0007/2019;57/500.095/2019;48606                         ;Execução das obras de construção de bases para unidades habitacionais, com área unitária de 42,56 m², no Loteamento José Pereira Martins, município de Corguinho/MS, conforme especificações no Memorial Descritivo e Planilha Orçamentária.;AGEHAB;CONVITE;
27/11/2019;Aguardando abertura;0002/2019;55/000.263/2019;                              ;ALIENAÇÃO POR LICITAÇÃO NA MODALIDADE LEILÃO DE BENS MÓVEIS CONSIDERADOS OBSOLETOS, OCIOSOS, ANTIECONÔMICOS OU INSERVÍVEIS PARA A ADMINISTRAÇÃO PÚBLICA ESTADUAL, ORIUNDOS DOS ORGÃOS DO PODER EXECUTIVO ESTADUAL.;SAD - 2022;LEILÃO;
27/11/2019;Encerrada;0005/2019;31/300.593/2019;                              ;Aquisição de Veículo tipo van;SEJUSP;PREGÃO ELETRÔNICO;
26/11/2019;Encerrada;0018/2019;55/000.981/2018;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE EQUIPAMENTOS DE PROTEÇÃO PARA COMBATE A INCÊNDIO ;SAD - 2022;PREGÃO ELETRÔNICO;
26/11/2019;Encerrada;0090/2019;55/000.598/2019;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MEDICAMENTOS;SAD - 2022;PREGÃO ELETRÔNICO;
25/11/2019;Encerrada;0099/2019;55/001.030/2019;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MEDICAMENTOS - AÇÃO JUDICIAL;SAD - 2022;PREGÃO ELETRÔNICO;
25/11/2019;Encerrada;0102/2019;55/000.753/2019;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MEDICAMENTOS - AÇÃO JUDICIAL;SAD - 2022;PREGÃO ELETRÔNICO;
25/11/2019;Encerrada;0088/2019;55/000.313/2019;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MEDICAMENTOS;SAD - 2022;PREGÃO ELETRÔNICO;
22/11/2019;Encerrada;0013/2019;71/505.772/2018;47158                         ;AQUISIÇÃO DE MATERIAIS LABORATORIAIS PARA ATENDER O LABORATÓRIO DE ANÁLISE DE SEMENTES OFICIAL - LASO;IAGRO - Inativo - 2022;PREGÃO ELETRÔNICO;
22/11/2019;Encerrada;0013/2019;71/505.772/2018;47160                         ;AQUISIÇÃO DE MATERIAIS LABORATORIAIS PARA ATENDER O LABORATÓRIO DE ANÁLISE DE SEMENTES OFICIAL - LASO;IAGRO - Inativo - 2022;PREGÃO ELETRÔNICO;
22/11/2019;Encerrada;0007/2019;31/000.315/2019;48408                         ;AQUISIÇÃO DE MICRO-ÔNIBUS ADAPTADO;SEJUSP;PREGÃO ELETRÔNICO;
21/11/2019;Encerrada;0086/2019;55/000.875/2018;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE CORRELATOS HOSPITALARES PARA ENDOSCOPIA;SAD - 2022;PREGÃO ELETRÔNICO;
20/11/2019;Encerrada;0063/2019;55/000.770/2019;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MATERIAIS LABORATORIAIS ;SAD - 2022;PREGÃO ELETRÔNICO;
20/11/2019;Encerrada;0094/2019;55/000.755/2019;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MEDICAMENTOS;SAD - 2022;PREGÃO ELETRÔNICO;
20/11/2019;Encerrada;0083/2019;55/000.486/2019;                              ;Registro de Preços para Serviço de confecção de cópias de chaves, troca e manutenção de fechaduras, regulagem de molas e fornecimento de materiais;SAD - 2022;PREGÃO ELETRÔNICO;
19/11/2019;Encerrada;0095/2019;55/000.754/2019;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE COLCHÕES;SAD - 2022;PREGÃO ELETRÔNICO;
18/11/2019;Encerrada;0001/2019;55/000.976/2018;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE RADIOCOMUNICAÇÃO DIGITAL;SAD - 2022;PREGÃO PRESENCIAL;
18/11/2019;Encerrada;0002/2019;55/000.975/2018;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE TRANSCEPTORES DE RADIOCOMUNICAÇÃO DIGITAL;SAD - 2022;PREGÃO PRESENCIAL;
18/11/2019;Encerrada;0106/2019;55/000.644/2019;                              ;Registro de preços para Aquisição de Soluções e Saneantes Hospitalares;SAD - 2022;PREGÃO ELETRÔNICO;
18/11/2019;Encerrada;0051/2019;55/000.262/2019;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MATERIAIS PARA COPA E COZINHA;SAD - 2022;PREGÃO ELETRÔNICO;
18/11/2019;Encerrada;0002/2019;31/705.178/2018;47337                         ;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE VIGILÂNCIA OSTENSIVA ARMADA;DETRAN;PREGÃO ELETRÔNICO;
18/11/2019;Encerrada;0002/2019;31/705.178/2018;47338                         ;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE VIGILÂNCIA OSTENSIVA ARMADA;DETRAN;PREGÃO ELETRÔNICO;
18/11/2019;Encerrada;0002/2019;31/705.178/2018;52718                         ;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE VIGILÂNCIA OSTENSIVA ARMADA;DETRAN;PREGÃO ELETRÔNICO;
18/11/2019;Encerrada;0002/2019;31/705.178/2018;52720                         ;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE VIGILÂNCIA OSTENSIVA ARMADA;DETRAN;PREGÃO ELETRÔNICO;
18/11/2019;Encerrada;0002/2019;31/705.178/2018;52730                         ;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE VIGILÂNCIA OSTENSIVA ARMADA;DETRAN;PREGÃO ELETRÔNICO;
18/11/2019;Encerrada;0002/2019;31/705.178/2018;52731                         ;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE VIGILÂNCIA OSTENSIVA ARMADA;DETRAN;PREGÃO ELETRÔNICO;
18/11/2019;Encerrada;0002/2019;31/705.178/2018;54422                         ;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE VIGILÂNCIA OSTENSIVA ARMADA;DETRAN;PREGÃO ELETRÔNICO;
18/11/2019;Encerrada;0002/2019;31/705.178/2018;54514                         ;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE VIGILÂNCIA OSTENSIVA ARMADA;DETRAN;PREGÃO ELETRÔNICO;
18/11/2019;Encerrada;0002/2019;31/705.178/2018;56554                         ;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE VIGILÂNCIA OSTENSIVA ARMADA;DETRAN;PREGÃO ELETRÔNICO;
18/11/2019;Encerrada;0002/2019;31/705.178/2018;59483                         ;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE VIGILÂNCIA OSTENSIVA ARMADA;DETRAN;PREGÃO ELETRÔNICO;
18/11/2019;Encerrada;0002/2019;31/705.178/2018;59744                         ;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE VIGILÂNCIA OSTENSIVA ARMADA;DETRAN;PREGÃO ELETRÔNICO;
18/11/2019;Encerrada;0002/2019;31/705.178/2018;59805                         ;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE VIGILÂNCIA OSTENSIVA ARMADA;DETRAN;PREGÃO ELETRÔNICO;
18/11/2019;Encerrada;0002/2019;31/705.178/2018;59863                         ;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE VIGILÂNCIA OSTENSIVA ARMADA;DETRAN;PREGÃO ELETRÔNICO;
18/11/2019;Encerrada;0002/2019;31/705.178/2018;59899                         ;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE VIGILÂNCIA OSTENSIVA ARMADA;DETRAN;PREGÃO ELETRÔNICO;
18/11/2019;Encerrada;0002/2019;31/705.178/2018;61371                         ;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE VIGILÂNCIA OSTENSIVA ARMADA;DETRAN;PREGÃO ELETRÔNICO;
18/11/2019;Encerrada;0002/2019;31/705.178/2018;61372                         ;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE VIGILÂNCIA OSTENSIVA ARMADA;DETRAN;PREGÃO ELETRÔNICO;
18/11/2019;Encerrada;0002/2019;31/705.178/2018;61477                         ;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE VIGILÂNCIA OSTENSIVA ARMADA;DETRAN;PREGÃO ELETRÔNICO;
18/11/2019;Encerrada;0002/2019;31/705.178/2018;61565                         ;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE VIGILÂNCIA OSTENSIVA ARMADA;DETRAN;PREGÃO ELETRÔNICO;
18/11/2019;Encerrada;0002/2019;31/705.178/2018;66565                         ;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE VIGILÂNCIA OSTENSIVA ARMADA;DETRAN;PREGÃO ELETRÔNICO;
18/11/2019;Encerrada;0002/2019;31/705.178/2018;70484                         ;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE VIGILÂNCIA OSTENSIVA ARMADA;DETRAN;PREGÃO ELETRÔNICO;
18/11/2019;Encerrada;0002/2019;31/705.178/2018;70500                         ;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE VIGILÂNCIA OSTENSIVA ARMADA;DETRAN;PREGÃO ELETRÔNICO;
18/11/2019;Encerrada;0002/2019;31/705.178/2018;70652                         ;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE VIGILÂNCIA OSTENSIVA ARMADA;DETRAN;PREGÃO ELETRÔNICO;
18/11/2019;Encerrada;0002/2019;31/705.178/2018;70674                         ;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE VIGILÂNCIA OSTENSIVA ARMADA;DETRAN;PREGÃO ELETRÔNICO;
18/11/2019;Encerrada;0002/2019;31/705.178/2018;71548                         ;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE VIGILÂNCIA OSTENSIVA ARMADA;DETRAN;PREGÃO ELETRÔNICO;
18/11/2019;Encerrada;0024/2019;27/001.197/2019;45704                         ;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA REALIZAÇÃO DE EVENTOS;FESA;PREGÃO ELETRÔNICO;
14/11/2019;Encerrada;0028/2019;55/000.982/2018;                              ;01º REEPTIÇÃO - REGISTRO DE PREÇOS PARA AQUISIÇÃO DE UNIFORMES ;SAD - 2022;PREGÃO ELETRÔNICO;
12/11/2019;Encerrada;0092/2019;55/000.597/2019;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MEDICAMENTOS;SAD - 2022;PREGÃO ELETRÔNICO;
12/11/2019;Encerrada;0024/2019;55/000.335/2019;                              ;02º REPETIÇÃO - REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MEDICAMENTOS;SAD - 2022;PREGÃO ELETRÔNICO;
11/11/2019;Encerrada;0028/2019;29/040.780/2019;45585                         ;AQUISIÇÃO DE LOUSA INTERATIVA;SED;PREGÃO ELETRÔNICO;
11/11/2019;Encerrada;0027/2019;29/040.778/2019;45487                         ;AQUISIÇÃO DE TELEVISOR;SED;PREGÃO ELETRÔNICO;
11/11/2019;Encerrada;0026/2019;29/040.659/2019;45483                         ;AQUISIÇÃO DE MESA E CADEIRA;SED;PREGÃO ELETRÔNICO;
11/11/2019;Encerrada;0026/2019;29/040.659/2019;45484                         ;AQUISIÇÃO DE MESA E CADEIRA;SED;PREGÃO ELETRÔNICO;
11/11/2019;Encerrada;0026/2019;29/040.659/2019;46848                         ;AQUISIÇÃO DE MESA E CADEIRA;SED;PREGÃO ELETRÔNICO;
11/11/2019;Encerrada;0026/2019;29/040.659/2019;46849                         ;AQUISIÇÃO DE MESA E CADEIRA;SED;PREGÃO ELETRÔNICO;
11/11/2019;Encerrada;0025/2019;29/040.618/2019;45904                         ;AQUISIÇÃO DE PROJETOR MULTIMÍDIA;SED;PREGÃO ELETRÔNICO;
08/11/2019;Encerrada;0006/2019;31/502.367/2018;                              ;AQUISIÇÃO DE TELEVISORES;SEJUSP;PREGÃO ELETRÔNICO;
07/11/2019;Encerrada;0007/2019;71/506.003/2018;                              ;01ª REPETIÇÃO AQUISIÇÃO DE REAGENTES E E MATERIAIS LABORATORIAIS;IAGRO - Inativo - 2022;PREGÃO ELETRÔNICO;
07/11/2019;Encerrada;0002/2019;71/200.182/2019;                              ;Aquisição de Módulo de Expansão de Storage e Licença Oracle Database Standard Edition Two;JUCEMS - Inativo - 2022;PREGÃO ELETRÔNICO;
05/11/2019;Encerrada;0023/2019;27/000.506/2019;45899                         ;AQUISIÇÃO DE EQUIPAMENTOS DE INFORMATICA;FESA;PREGÃO ELETRÔNICO;
04/11/2019;Encerrada;0011/2019;27/001.950/2018;                              ;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS GRÁFICOS ;FESA;PREGÃO ELETRÔNICO;
01/11/2019;Encerrada;0054/2019;55/000.340/2019;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MATERIAL DE EXPEDIENTE;SAD - 2022;PREGÃO ELETRÔNICO;
